,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('good',)",13.0,0.020766773162939296,"('lunch', 'special')",4.0,0.0064,"('always', 'great', 'service')",2,0.003205128205128205
1,"('service',)",10.0,0.01597444089456869,"('can', 'eat')",4.0,0.0064,"('miso', 'soup', 'big')",1,0.0016025641025641025
2,"('great',)",8.0,0.012779552715654952,"('great', 'service')",3.0,0.0048,"('epson', 'jaime', 'nono')",1,0.0016025641025641025
3,"('lunch',)",8.0,0.012779552715654952,"('good', 'service')",3.0,0.0048,"('jaime', 'nono', 'best')",1,0.0016025641025641025
4,"('can',)",8.0,0.012779552715654952,"('always', 'great')",2.0,0.0032,"('nono', 'best', 'good')",1,0.0016025641025641025
5,"('time',)",7.0,0.011182108626198083,"('super', 'slow')",2.0,0.0032,"('best', 'good', 'eats')",1,0.0016025641025641025
6,"('best',)",7.0,0.011182108626198083,"('miso', 'soup')",2.0,0.0032,"('good', 'eats', 'forgot')",1,0.0016025641025641025
7,"('love',)",7.0,0.011182108626198083,"('sit', 'bar')",2.0,0.0032,"('eats', 'forgot', 'miso')",1,0.0016025641025641025
8,"('come',)",7.0,0.011182108626198083,"('brown', 'rice')",2.0,0.0032,"('forgot', 'miso', 'soup')",1,0.0016025641025641025
9,"('always',)",7.0,0.011182108626198083,"('make', 'sure')",2.0,0.0032,"('happy', 'hour', 'drink')",1,0.0016025641025641025
10,"('pier',)",6.0,0.009584664536741214,"('love', 'chefs')",2.0,0.0032,"('ask', 'epson', 'jaime')",1,0.0016025641025641025
11,"('roll',)",6.0,0.009584664536741214,"('can', 'buy')",2.0,0.0032,"('big', 'deal', 'book')",1,0.0016025641025641025
12,"('rice',)",6.0,0.009584664536741214,"('long', 'wait')",2.0,0.0032,"('deal', 'book', 'ive')",1,0.0016025641025641025
13,"('lunchtime',)",5.0,0.007987220447284345,"('much', 'rice')",2.0,0.0032,"('book', 'ive', 'hundred')",1,0.0016025641025641025
14,"('2',)",5.0,0.007987220447284345,"('peter', 'amazing')",1.0,0.0016,"('ive', 'hundred', 'times')",1,0.0016025641025641025
15,"('get',)",5.0,0.007987220447284345,"('eats', 'forgot')",1.0,0.0016,"('hundred', 'times', 'never')",1,0.0016025641025641025
16,"('order',)",5.0,0.007987220447284345,"('forgot', 'miso')",1.0,0.0016,"('times', 'never', 'disappointed')",1,0.0016025641025641025
17,"('eat',)",5.0,0.007987220447284345,"('amazing', 'always')",1.0,0.0016,"('never', 'disappointed', 'peter')",1,0.0016025641025641025
18,"('amazing',)",5.0,0.007987220447284345,"('soup', 'big')",1.0,0.0016,"('soup', 'big', 'deal')",1,0.0016025641025641025
19,"('nigiri',)",5.0,0.007987220447284345,"('big', 'deal')",1.0,0.0016,"('ta', 'ask', 'epson')",1,0.0016025641025641025
20,"('ayce',)",4.0,0.006389776357827476,"('times', 'never')",1.0,0.0016,"('s', 'h', 'great')",1,0.0016025641025641025
21,"('long',)",4.0,0.006389776357827476,"('deal', 'book')",1.0,0.0016,"('got', 'nigiri', 'fresh')",1,0.0016025641025641025
22,"('special',)",4.0,0.006389776357827476,"('never', 'disappointed')",1.0,0.0016,"('love', 'nigiri', 'titan')",1,0.0016025641025641025
23,"('cold',)",4.0,0.006389776357827476,"('book', 'ive')",1.0,0.0016,"('nigiri', 'titan', 'roll')",1,0.0016025641025641025
24,"('chefs',)",3.0,0.004792332268370607,"('ive', 'hundred')",1.0,0.0016,"('titan', 'roll', 'day')",1,0.0016025641025641025
25,"('bar',)",3.0,0.004792332268370607,"('hundred', 'times')",1.0,0.0016,"('roll', 'day', 'ayce')",1,0.0016025641025641025
26,"('forever',)",3.0,0.004792332268370607,"('disappointed', 'peter')",1.0,0.0016,"('day', 'ayce', 'worth')",1,0.0016025641025641025
27,"('really',)",3.0,0.004792332268370607,"('good', 'eats')",1.0,0.0016,"('ayce', 'worth', 'got')",1,0.0016025641025641025
28,"('slow',)",3.0,0.004792332268370607,"('happy', 'hour')",1.0,0.0016,"('worth', 'got', 'nigiri')",1,0.0016025641025641025
29,"('nice',)",3.0,0.004792332268370607,"('best', 'good')",1.0,0.0016,"('nigiri', 'fresh', 'tasty')",1,0.0016025641025641025
30,"('much',)",3.0,0.004792332268370607,"('everyday', 'love')",1.0,0.0016,"('got', 'ta', 'ask')",1,0.0016025641025641025
31,"('favorite',)",3.0,0.004792332268370607,"('got', 'nigiri')",1.0,0.0016,"('fresh', 'tasty', 'spot')",1,0.0016025641025641025
32,"('like',)",3.0,0.004792332268370607,"('nigiri', 'fresh')",1.0,0.0016,"('tasty', 'spot', 'day')",1,0.0016025641025641025
33,"('everything',)",3.0,0.004792332268370607,"('fresh', 'tasty')",1.0,0.0016,"('spot', 'day', 'everyday')",1,0.0016025641025641025
34,"('make',)",3.0,0.004792332268370607,"('tasty', 'spot')",1.0,0.0016,"('day', 'everyday', 'love')",1,0.0016025641025641025
35,"('fresh',)",3.0,0.004792332268370607,"('spot', 'day')",1.0,0.0016,"('everyday', 'love', 'chefs')",1,0.0016025641025641025
36,"('dinner',)",3.0,0.004792332268370607,"('day', 'everyday')",1.0,0.0016,"('love', 'chefs', 'got')",1,0.0016025641025641025
37,"('go',)",3.0,0.004792332268370607,"('chefs', 'got')",1.0,0.0016,"('chefs', 'got', 'ta')",1,0.0016025641025641025
38,"('spot',)",3.0,0.004792332268370607,"('nono', 'best')",1.0,0.0016,"('disappointed', 'peter', 'amazing')",1,0.0016025641025641025
39,"('chef',)",3.0,0.004792332268370607,"('got', 'ta')",1.0,0.0016,"('peter', 'amazing', 'always')",1,0.0016025641025641025
40,"('even',)",3.0,0.004792332268370607,"('ta', 'ask')",1.0,0.0016,"('amazing', 'always', 'gets')",1,0.0016025641025641025
41,"('mussels',)",3.0,0.004792332268370607,"('ask', 'epson')",1.0,0.0016,"('good', 'service', '1100')",1,0.0016025641025641025
42,"('wait',)",3.0,0.004792332268370607,"('epson', 'jaime')",1.0,0.0016,"('even', 'allyoucaneat', 'water')",1,0.0016025641025641025
43,"('got',)",3.0,0.004792332268370607,"('gets', 'favorites')",1.0,0.0016,"('allyoucaneat', 'water', 'free')",1,0.0016025641025641025
44,"('day',)",3.0,0.004792332268370607,"('jaime', 'nono')",1.0,0.0016,"('water', 'free', 'terrible')",1,0.0016025641025641025
45,"('delicious',)",3.0,0.004792332268370607,"('always', 'gets')",1.0,0.0016,"('free', 'terrible', 'point')",1,0.0016025641025641025
46,"('prepared',)",3.0,0.004792332268370607,"('mickey', 'donald')",1.0,0.0016,"('terrible', 'point', 'time')",1,0.0016025641025641025
47,"('super',)",2.0,0.003194888178913738,"('favorites', 'ready')",1.0,0.0016,"('point', 'time', 'good')",1,0.0016025641025641025
48,"('80',)",2.0,0.003194888178913738,"('ready', 'even')",1.0,0.0016,"('time', 'good', 'service')",1,0.0016025641025641025
49,"('patrons',)",2.0,0.003194888178913738,"('water', 'free')",1.0,0.0016,"('service', '1100', '300')",1,0.0016025641025641025
50,"('inside',)",2.0,0.003194888178913738,"('free', 'terrible')",1.0,0.0016,"('always', 'gets', 'favorites')",1,0.0016025641025641025
51,"('20',)",2.0,0.003194888178913738,"('terrible', 'point')",1.0,0.0016,"('1100', '300', 'can')",1,0.0016025641025641025
52,"('buy',)",2.0,0.003194888178913738,"('point', 'time')",1.0,0.0016,"('300', 'can', 'eat')",1,0.0016025641025641025
53,"('100',)",2.0,0.003194888178913738,"('time', 'good')",1.0,0.0016,"('can', 'eat', '17')",1,0.0016025641025641025
54,"('staffed',)",2.0,0.003194888178913738,"('service', '1100')",1.0,0.0016,"('eat', '17', 'love')",1,0.0016025641025641025
55,"('water',)",2.0,0.003194888178913738,"('1100', '300')",1.0,0.0016,"('17', 'love', 's')",1,0.0016025641025641025
56,"('tea',)",2.0,0.003194888178913738,"('300', 'can')",1.0,0.0016,"('love', 's', 'u')",1,0.0016025641025641025
57,"('staff',)",2.0,0.003194888178913738,"('eat', '17')",1.0,0.0016,"('s', 'u', 's')",1,0.0016025641025641025
58,"('costco',)",2.0,0.003194888178913738,"('17', 'love')",1.0,0.0016,"('tea', 'even', 'allyoucaneat')",1,0.0016025641025641025
59,"('happy',)",2.0,0.003194888178913738,"('love', 's')",1.0,0.0016,"('250', 'tea', 'even')",1,0.0016025641025641025
60,"('far',)",2.0,0.003194888178913738,"('s', 'u')",1.0,0.0016,"('price', '250', 'tea')",1,0.0016025641025641025
61,"('places',)",2.0,0.003194888178913738,"('u', 's')",1.0,0.0016,"('small', 'price', '250')",1,0.0016025641025641025
