,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('great',)",15.0,0.060240963855421686,"('lunch', 'buffet')",9.0,0.036290322580645164,"('wild', 'wasabi', 'roll')",2,0.008097165991902834
1,"('good',)",14.0,0.05622489959839357,"('wild', 'wasabi')",3.0,0.012096774193548387,"('lunch', 'buffet', 'good')",2,0.008097165991902834
2,"('lunch',)",12.0,0.04819277108433735,"('friendly', 'staff')",2.0,0.008064516129032258,"('nashville', 'customer', 'service')",1,0.004048582995951417
3,"('buffet',)",11.0,0.04417670682730924,"('really', 'good')",2.0,0.008064516129032258,"('hands', 'definitely', 'will')",1,0.004048582995951417
4,"('roll',)",8.0,0.0321285140562249,"('buffet', 'great')",2.0,0.008064516129032258,"('definitely', 'will', 'back')",1,0.004048582995951417
5,"('parking',)",5.0,0.020080321285140562,"('lot', 'across')",2.0,0.008064516129032258,"('will', 'back', 'mmm')",1,0.004048582995951417
6,"('nashville',)",4.0,0.01606425702811245,"('good', 'prices')",2.0,0.008064516129032258,"('back', 'mmm', 'tempura')",1,0.004048582995951417
7,"('favorite',)",4.0,0.01606425702811245,"('good', 'stuff')",2.0,0.008064516129032258,"('mmm', 'tempura', 'lunch')",1,0.004048582995951417
8,"('nice',)",3.0,0.012048192771084338,"('great', 'great')",2.0,0.008064516129032258,"('tempura', 'lunch', 'buffet')",1,0.004048582995951417
9,"('friendly',)",3.0,0.012048192771084338,"('great', 'service')",2.0,0.008064516129032258,"('buffet', 'good', 'might')",1,0.004048582995951417
10,"('service',)",3.0,0.012048192771084338,"('buffet', 'good')",2.0,0.008064516129032258,"('good', 'might', 'cry')",1,0.004048582995951417
11,"('wasabi',)",3.0,0.012048192771084338,"('wasabi', 'roll')",2.0,0.008064516129032258,"('might', 'cry', 'little')",1,0.004048582995951417
12,"('lot',)",3.0,0.012048192771084338,"('favorite', 'nashville')",2.0,0.008064516129032258,"('cry', 'little', 'best')",1,0.004048582995951417
13,"('wild',)",3.0,0.012048192771084338,"('little', 'best')",1.0,0.004032258064516129,"('little', 'best', 'nashville')",1,0.004048582995951417
14,"('best',)",3.0,0.012048192771084338,"('good', 'might')",1.0,0.004032258064516129,"('best', 'nashville', 'customer')",1,0.004048582995951417
15,"('prices',)",3.0,0.012048192771084338,"('might', 'cry')",1.0,0.004032258064516129,"('customer', 'service', 'little')",1,0.004048582995951417
16,"('9',)",2.0,0.008032128514056224,"('cry', 'little')",1.0,0.004032258064516129,"('roll', 'way', 'go')",1,0.004048582995951417
17,"('selection',)",2.0,0.008032128514056224,"('tempura', 'lunch')",1.0,0.004032258064516129,"('service', 'little', 'lacking')",1,0.004048582995951417
18,"('staff',)",2.0,0.008032128514056224,"('nice', 'vibe')",1.0,0.004032258064516129,"('little', 'lacking', 'excellent')",1,0.004048582995951417
19,"('little',)",2.0,0.008032128514056224,"('customer', 'service')",1.0,0.004032258064516129,"('lacking', 'excellent', 'super')",1,0.004048582995951417
20,"('stuff',)",2.0,0.008032128514056224,"('best', 'nashville')",1.0,0.004032258064516129,"('excellent', 'super', 'good')",1,0.004048582995951417
21,"('really',)",2.0,0.008032128514056224,"('nashville', 'customer')",1.0,0.004032258064516129,"('super', 'good', 'prices')",1,0.004048582995951417
22,"('price',)",2.0,0.008032128514056224,"('back', 'mmm')",1.0,0.004032258064516129,"('good', 'prices', 'great')",1,0.004048582995951417
23,"('family',)",2.0,0.008032128514056224,"('service', 'little')",1.0,0.004032258064516129,"('prices', 'great', 'service')",1,0.004048582995951417
24,"('buffett',)",2.0,0.008032128514056224,"('little', 'lacking')",1.0,0.004032258064516129,"('great', 'service', 'charge')",1,0.004048582995951417
25,"('prepared',)",2.0,0.008032128514056224,"('lacking', 'excellent')",1.0,0.004032258064516129,"('service', 'charge', '50')",1,0.004048582995951417
26,"('perfect',)",2.0,0.008032128514056224,"('excellent', 'super')",1.0,0.004032258064516129,"('charge', '50', 'piece')",1,0.004048582995951417
27,"('get',)",2.0,0.008032128514056224,"('super', 'good')",1.0,0.004032258064516129,"('50', 'piece', 'leftover')",1,0.004048582995951417
28,"('dishes',)",2.0,0.008032128514056224,"('prices', 'great')",1.0,0.004032258064516129,"('piece', 'leftover', 'wild')",1,0.004048582995951417
29,"('worth',)",2.0,0.008032128514056224,"('service', 'charge')",1.0,0.004032258064516129,"('leftover', 'wild', 'wasabi')",1,0.004048582995951417
30,"('money',)",2.0,0.008032128514056224,"('charge', '50')",1.0,0.004032258064516129,"('eaten', 'hands', 'definitely')",1,0.004048582995951417
31,"('validated',)",2.0,0.008032128514056224,"('50', 'piece')",1.0,0.004032258064516129,"('nice', 'vibe', 'awesome')",1,0.004048582995951417
32,"('free',)",2.0,0.008032128514056224,"('piece', 'leftover')",1.0,0.004032258064516129,"('ever', 'eaten', 'hands')",1,0.004048582995951417
33,"('across',)",2.0,0.008032128514056224,"('mmm', 'tempura')",1.0,0.004032258064516129,"('ive', 'ever', 'eaten')",1,0.004048582995951417
34,"('lacking',)",1.0,0.004016064257028112,"('hands', 'definitely')",1.0,0.004032258064516129,"('nice', 'night', '9')",1,0.004048582995951417
35,"('excellent',)",1.0,0.004016064257028112,"('will', 'back')",1.0,0.004032258064516129,"('night', '9', 'roll')",1,0.004048582995951417
36,"('neat',)",1.0,0.004016064257028112,"('great', 'perfect')",1.0,0.004032258064516129,"('9', 'roll', 'soooo')",1,0.004048582995951417
37,"('taste',)",1.0,0.004016064257028112,"('night', '9')",1.0,0.004032258064516129,"('roll', 'soooo', 'gooood')",1,0.004048582995951417
