,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('fresh',)",3.0,0.041666666666666664,"('wearing', 'masks')",2,0.028169014084507043,"('tuna', 'steaks', 'grilled')",1,0.014285714285714285
1,"('mask',)",2.0,0.027777777777777776,"('tuna', 'steaks')",1,0.014084507042253521,"('update', '12162020', 'fresh')",1,0.014285714285714285
2,"('disappointed',)",2.0,0.027777777777777776,"('great', 'customer')",1,0.014084507042253521,"('awesome', 'great', 'customer')",1,0.014285714285714285
3,"('great',)",2.0,0.027777777777777776,"('awesome', 'great')",1,0.014084507042253521,"('today', 'awesome', 'great')",1,0.014285714285714285
4,"('wearing',)",2.0,0.027777777777777776,"('today', 'awesome')",1,0.014084507042253521,"('monkfish', 'today', 'awesome')",1,0.014285714285714285
5,"('masks',)",2.0,0.027777777777777776,"('monkfish', 'today')",1,0.014084507042253521,"('grabbed', 'monkfish', 'today')",1,0.014285714285714285
6,"('employees',)",2.0,0.027777777777777776,"('grabbed', 'monkfish')",1,0.014084507042253521,"('fresh', 'grabbed', 'monkfish')",1,0.014285714285714285
7,"('shrimp',)",2.0,0.027777777777777776,"('fresh', 'grabbed')",1,0.014084507042253521,"('12162020', 'fresh', 'grabbed')",1,0.014285714285714285
8,"('monkfish',)",1.0,0.013888888888888888,"('12162020', 'fresh')",1,0.014084507042253521,"('customers', 'update', '12162020')",1,0.014285714285714285
9,"('grabbed',)",1.0,0.013888888888888888,"('service', 'good')",1,0.014084507042253521,"('customer', 'service', 'good')",1,0.014285714285714285
10,"('good',)",1.0,0.013888888888888888,"('update', '12162020')",1,0.014084507042253521,"('orders', 'customers', 'update')",1,0.014285714285714285
11,"('today',)",1.0,0.013888888888888888,"('customers', 'update')",1,0.014084507042253521,"('taking', 'orders', 'customers')",1,0.014285714285714285
12,"('awesome',)",1.0,0.013888888888888888,"('orders', 'customers')",1,0.014084507042253521,"('masks', 'taking', 'orders')",1,0.014285714285714285
13,"('12162020',)",1.0,0.013888888888888888,"('taking', 'orders')",1,0.014084507042253521,"('wearing', 'masks', 'taking')",1,0.014285714285714285
14,"('update',)",1.0,0.013888888888888888,"('masks', 'taking')",1,0.014084507042253521,"('employees', 'wearing', 'masks')",1,0.014285714285714285
15,"('customer',)",1.0,0.013888888888888888,"('employees', 'wearing')",1,0.014084507042253521,"('mask', 'employees', 'wearing')",1,0.014285714285714285
16,"('customers',)",1.0,0.013888888888888888,"('customer', 'service')",1,0.014084507042253521,"('great', 'customer', 'service')",1,0.014285714285714285
