,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('mmmm',)",1,0.05,"('mmmm', 'max')",1.0,0.05263157894736842,"('mmmm', 'max', 'mike')",1.0,0.05555555555555555
1,"('max',)",1,0.05,"('service', 'bad')",1.0,0.05263157894736842,"('max', 'mike', 'christine')",1.0,0.05555555555555555
2,"('since',)",1,0.05,"('gone', 'since')",1.0,0.05263157894736842,"('quality', 'gone', 'since')",1.0,0.05555555555555555
3,"('gone',)",1,0.05,"('quality', 'gone')",1.0,0.05263157894736842,"('better', 'quality', 'gone')",1.0,0.05555555555555555
4,"('quality',)",1,0.05,"('better', 'quality')",1.0,0.05263157894736842,"('much', 'better', 'quality')",1.0,0.05555555555555555
5,"('better',)",1,0.05,"('much', 'better')",1.0,0.05263157894736842,"('oishi', 'much', 'better')",1.0,0.05555555555555555
6,"('much',)",1,0.05,"('oishi', 'much')",1.0,0.05263157894736842,"('try', 'oishi', 'much')",1.0,0.05555555555555555
7,"('oishi',)",1,0.05,"('try', 'oishi')",1.0,0.05263157894736842,"('bad', 'try', 'oishi')",1.0,0.05555555555555555
8,"('try',)",1,0.05,"('bad', 'try')",1.0,0.05263157894736842,"('service', 'bad', 'try')",1.0,0.05555555555555555
9,"('bad',)",1,0.05,"('shit', 'service')",1.0,0.05263157894736842,"('shit', 'service', 'bad')",1.0,0.05555555555555555
10,"('service',)",1,0.05,"('max', 'mike')",1.0,0.05263157894736842,"('47p', 'shit', 'service')",1.0,0.05555555555555555
11,"('shit',)",1,0.05,"('47p', 'shit')",1.0,0.05263157894736842,"('menu', '47p', 'shit')",1.0,0.05555555555555555
12,"('47p',)",1,0.05,"('menu', '47p')",1.0,0.05263157894736842,"('hour', 'menu', '47p')",1.0,0.05555555555555555
13,"('menu',)",1,0.05,"('hour', 'menu')",1.0,0.05263157894736842,"('happy', 'hour', 'menu')",1.0,0.05555555555555555
14,"('hour',)",1,0.05,"('happy', 'hour')",1.0,0.05263157894736842,"('dinner', 'happy', 'hour')",1.0,0.05555555555555555
15,"('happy',)",1,0.05,"('dinner', 'happy')",1.0,0.05263157894736842,"('christine', 'dinner', 'happy')",1.0,0.05555555555555555
16,"('dinner',)",1,0.05,"('christine', 'dinner')",1.0,0.05263157894736842,"('mike', 'christine', 'dinner')",1.0,0.05555555555555555
17,"('christine',)",1,0.05,"('mike', 'christine')",1.0,0.05263157894736842,"('gone', 'since', 'moved')",1.0,0.05555555555555555
18,"('mike',)",1,0.05,"('since', 'moved')",1.0,0.05263157894736842,,,
19,"('moved',)",1,0.05,,,,,,
