,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('service',)",8.0,0.06956521739130435,"('great', 'friendly')",2.0,0.017543859649122806,"('fantastic', 'amazing', 'authentic')",1,0.008849557522123894
1,"('great',)",6.0,0.05217391304347826,"('service', 'good')",2.0,0.017543859649122806,"('sister', 'black', 'friday')",1,0.008849557522123894
2,"('good',)",5.0,0.043478260869565216,"('good', 'service')",2.0,0.017543859649122806,"('pricey', 'totally', 'worth')",1,0.008849557522123894
3,"('amazing',)",4.0,0.034782608695652174,"('fantastic', 'amazing')",1.0,0.008771929824561403,"('bit', 'pricey', 'totally')",1,0.008849557522123894
4,"('friendly',)",3.0,0.02608695652173913,"('dish', 'bulgogi')",1.0,0.008771929824561403,"('little', 'bit', 'pricey')",1,0.008849557522123894
5,"('excellent',)",3.0,0.02608695652173913,"('little', 'bit')",1.0,0.008771929824561403,"('gallatin', 'little', 'bit')",1,0.008849557522123894
6,"('sister',)",2.0,0.017391304347826087,"('gallatin', 'little')",1.0,0.008771929824561403,"('gem', 'gallatin', 'little')",1,0.008849557522123894
7,"('best',)",2.0,0.017391304347826087,"('gem', 'gallatin')",1.0,0.008771929824561403,"('glad', 'gem', 'gallatin')",1,0.008849557522123894
8,"('delicious',)",2.0,0.017391304347826087,"('glad', 'gem')",1.0,0.008771929824561403,"('wow', 'glad', 'gem')",1,0.008849557522123894
9,"('staff',)",2.0,0.017391304347826087,"('wow', 'glad')",1.0,0.008771929824561403,"('say', 'wow', 'glad')",1,0.008849557522123894
10,"('choices',)",2.0,0.017391304347826087,"('say', 'wow')",1.0,0.008771929824561403,"('can', 'say', 'wow')",1,0.008849557522123894
11,"('can',)",2.0,0.017391304347826087,"('can', 'say')",1.0,0.008771929824561403,"('thing', 'can', 'say')",1,0.008849557522123894
12,"('hit',)",2.0,0.017391304347826087,"('thing', 'can')",1.0,0.008771929824561403,"('bulgogi', 'thing', 'can')",1,0.008849557522123894
13,"('gallatin',)",1.0,0.008695652173913044,"('bulgogi', 'thing')",1.0,0.008771929824561403,"('dish', 'bulgogi', 'thing')",1,0.008849557522123894
14,"('thing',)",1.0,0.008695652173913044,"('amazing', 'dish')",1.0,0.008771929824561403,"('amazing', 'dish', 'bulgogi')",1,0.008849557522123894
15,"('say',)",1.0,0.008695652173913044,"('pricey', 'totally')",1.0,0.008771929824561403,"('find', 'amazing', 'dish')",1,0.008849557522123894
16,"('bulgogi',)",1.0,0.008695652173913044,"('find', 'amazing')",1.0,0.008771929824561403,"('helped', 'find', 'amazing')",1,0.008849557522123894
17,"('dish',)",1.0,0.008695652173913044,"('helped', 'find')",1.0,0.008771929824561403,"('waitress', 'helped', 'find')",1,0.008849557522123894
18,"('find',)",1.0,0.008695652173913044,"('waitress', 'helped')",1.0,0.008771929824561403,"('hit', 'waitress', 'helped')",1,0.008849557522123894
19,"('helped',)",1.0,0.008695652173913044,"('hit', 'waitress')",1.0,0.008771929824561403,"('korea', 'hit', 'waitress')",1,0.008849557522123894
20,"('waitress',)",1.0,0.008695652173913044,"('korea', 'hit')",1.0,0.008771929824561403,"('south', 'korea', 'hit')",1,0.008849557522123894
21,"('wow',)",1.0,0.008695652173913044,"('south', 'korea')",1.0,0.008771929824561403,"('traveled', 'south', 'korea')",1,0.008849557522123894
22,"('korea',)",1.0,0.008695652173913044,"('traveled', 'south')",1.0,0.008771929824561403,"('recently', 'traveled', 'south')",1,0.008849557522123894
23,"('glad',)",1.0,0.008695652173913044,"('recently', 'traveled')",1.0,0.008771929824561403,"('sister', 'recently', 'traveled')",1,0.008849557522123894
24,"('gem',)",1.0,0.008695652173913044,"('sister', 'recently')",1.0,0.008771929824561403,"('anything', 'sister', 'recently')",1,0.008849557522123894
25,"('bit',)",1.0,0.008695652173913044,"('anything', 'sister')",1.0,0.008771929824561403,"('clue', 'anything', 'sister')",1,0.008849557522123894
26,"('little',)",1.0,0.008695652173913044,"('clue', 'anything')",1.0,0.008771929824561403,"('friday', 'clue', 'anything')",1,0.008849557522123894
27,"('selection',)",1.0,0.008695652173913044,"('bit', 'pricey')",1.0,0.008771929824561403,"('totally', 'worth', 'get')",1,0.008849557522123894
28,"('miss',)",1.0,0.008695652173913044,"('totally', 'worth')",1.0,0.008771929824561403,"('worth', 'get', 'nice')",1,0.008849557522123894
29,"('love',)",1.0,0.008695652173913044,"('black', 'friday')",1.0,0.008771929824561403,"('get', 'nice', 'always')",1,0.008849557522123894
30,"('thank',)",1.0,0.008695652173913044,"('worth', 'get')",1.0,0.008771929824561403,"('tasty', 'okay', 'excellent')",1,0.008849557522123894
31,"('people',)",1.0,0.008695652173913044,"('miss', 'good')",1.0,0.008771929824561403,"('hit', 'miss', 'good')",1,0.008849557522123894
32,"('kind',)",1.0,0.008695652173913044,"('hit', 'miss')",1.0,0.008771929824561403,"('can', 'hit', 'miss')",1,0.008849557522123894
33,"('okay',)",1.0,0.008695652173913044,"('can', 'hit')",1.0,0.008771929824561403,"('good', 'can', 'hit')",1,0.008849557522123894
34,"('tasty',)",1.0,0.008695652173913044,"('good', 'can')",1.0,0.008771929824561403,"('service', 'good', 'can')",1,0.008849557522123894
35,"('fresh',)",1.0,0.008695652173913044,"('love', 'service')",1.0,0.008771929824561403,"('love', 'service', 'good')",1,0.008849557522123894
36,"('sizes',)",1.0,0.008695652173913044,"('thank', 'love')",1.0,0.008771929824561403,"('thank', 'love', 'service')",1,0.008849557522123894
37,"('traveled',)",1.0,0.008695652173913044,"('people', 'thank')",1.0,0.008771929824561403,"('people', 'thank', 'love')",1,0.008849557522123894
38,"('portion',)",1.0,0.008695652173913044,"('kind', 'people')",1.0,0.008771929824561403,"('kind', 'people', 'thank')",1,0.008849557522123894
39,"('accommodating',)",1.0,0.008695652173913044,"('service', 'kind')",1.0,0.008771929824561403,"('service', 'kind', 'people')",1,0.008849557522123894
40,"('always',)",1.0,0.008695652173913044,"('excellent', 'service')",1.0,0.008771929824561403,"('excellent', 'service', 'kind')",1,0.008849557522123894
41,"('nice',)",1.0,0.008695652173913044,"('okay', 'excellent')",1.0,0.008771929824561403,"('okay', 'excellent', 'service')",1,0.008849557522123894
42,"('get',)",1.0,0.008695652173913044,"('tasty', 'okay')",1.0,0.008771929824561403,"('fresh', 'tasty', 'okay')",1,0.008849557522123894
43,"('worth',)",1.0,0.008695652173913044,"('fresh', 'tasty')",1.0,0.008771929824561403,"('nice', 'always', 'accommodating')",1,0.008849557522123894
44,"('totally',)",1.0,0.008695652173913044,"('selection', 'fresh')",1.0,0.008771929824561403,"('selection', 'fresh', 'tasty')",1,0.008849557522123894
45,"('pricey',)",1.0,0.008695652173913044,"('excellent', 'selection')",1.0,0.008771929824561403,"('excellent', 'selection', 'fresh')",1,0.008849557522123894
46,"('south',)",1.0,0.008695652173913044,"('service', 'excellent')",1.0,0.008771929824561403,"('service', 'excellent', 'selection')",1,0.008849557522123894
47,"('fantastic',)",1.0,0.008695652173913044,"('friendly', 'service')",1.0,0.008771929824561403,"('friendly', 'service', 'excellent')",1,0.008849557522123894
48,"('recently',)",1.0,0.008695652173913044,"('sizes', 'great')",1.0,0.008771929824561403,"('great', 'friendly', 'service')",1,0.008849557522123894
49,"('3',)",1.0,0.008695652173913044,"('portion', 'sizes')",1.0,0.008771929824561403,"('sizes', 'great', 'friendly')",1,0.008849557522123894
50,"('salad',)",1.0,0.008695652173913044,"('great', 'portion')",1.0,0.008771929824561403,"('portion', 'sizes', 'great')",1,0.008849557522123894
51,"('soup',)",1.0,0.008695652173913044,"('service', 'great')",1.0,0.008771929824561403,"('great', 'portion', 'sizes')",1,0.008849557522123894
52,"('2',)",1.0,0.008695652173913044,"('accommodating', 'service')",1.0,0.008771929824561403,"('service', 'great', 'portion')",1,0.008849557522123894
53,"('awesome',)",1.0,0.008695652173913044,"('always', 'accommodating')",1.0,0.008771929824561403,"('accommodating', 'service', 'great')",1,0.008849557522123894
54,"('special',)",1.0,0.008695652173913044,"('nice', 'always')",1.0,0.008771929824561403,"('always', 'accommodating', 'service')",1,0.008849557522123894
55,"('lunch',)",1.0,0.008695652173913044,"('get', 'nice')",1.0,0.008771929824561403,"('black', 'friday', 'clue')",1,0.008849557522123894
56,"('priceless',)",1.0,0.008695652173913044,"('friday', 'clue')",1.0,0.008771929824561403,"('went', 'sister', 'black')",1,0.008849557522123894
57,"('door',)",1.0,0.008695652173913044,"('went', 'sister')",1.0,0.008771929824561403,"('amazing', 'authentic', 'served')",1,0.008849557522123894
58,"('walk',)",1.0,0.008695652173913044,"('sister', 'black')",1.0,0.008771929824561403,"('friendly', 'went', 'sister')",1,0.008849557522123894
59,"('smiles',)",1.0,0.008695652173913044,"('town', 'plus')",1.0,0.008771929824561403,"('town', 'plus', 'music')",1,0.008849557522123894
60,"('hugs',)",1.0,0.008695652173913044,"('best', 'deal')",1.0,0.008771929824561403,"('deal', 'town', 'plus')",1,0.008849557522123894
61,"('family',)",1.0,0.008695652173913044,"('delicious', 'best')",1.0,0.008771929824561403,"('best', 'deal', 'town')",1,0.008849557522123894
62,"('ana',)",1.0,0.008695652173913044,"('999', 'delicious')",1.0,0.008771929824561403,"('delicious', 'best', 'deal')",1,0.008849557522123894
63,"('served',)",1.0,0.008695652173913044,"('choices', '999')",1.0,0.008771929824561403,"('999', 'delicious', 'best')",1,0.008849557522123894
64,"('authentic',)",1.0,0.008695652173913044,"('3', 'choices')",1.0,0.008771929824561403,"('choices', '999', 'delicious')",1,0.008849557522123894
65,"('699',)",1.0,0.008695652173913044,"('699', '3')",1.0,0.008771929824561403,"('3', 'choices', '999')",1,0.008849557522123894
66,"('999',)",1.0,0.008695652173913044,"('salad', '699')",1.0,0.008771929824561403,"('699', '3', 'choices')",1,0.008849557522123894
67,"('anything',)",1.0,0.008695652173913044,"('soup', 'salad')",1.0,0.008771929824561403,"('salad', '699', '3')",1,0.008849557522123894
68,"('deal',)",1.0,0.008695652173913044,"('choices', 'soup')",1.0,0.008771929824561403,"('soup', 'salad', '699')",1,0.008849557522123894
69,"('clue',)",1.0,0.008695652173913044,"('2', 'choices')",1.0,0.008771929824561403,"('choices', 'soup', 'salad')",1,0.008849557522123894
