,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('service',)",9.0,0.038461538461538464,"('happy', 'hour')",5.0,0.02145922746781116,"('lets', 'see', 'improved')",1,0.004310344827586207
1,"('good',)",7.0,0.029914529914529916,"('really', 'good')",3.0,0.012875536480686695,"('great', 'door', 'dash')",1,0.004310344827586207
2,"('really',)",6.0,0.02564102564102564,"('good', 'service')",2.0,0.008583690987124463,"('recommended', 'lovers', 'non')",1,0.004310344827586207
3,"('hour',)",6.0,0.02564102564102564,"('sake', 'bombs')",2.0,0.008583690987124463,"('lovers', 'non', 'lovers')",1,0.004310344827586207
4,"('happy',)",5.0,0.021367521367521368,"('lets', 'see')",1.0,0.004291845493562232,"('non', 'lovers', 'alike')",1,0.004310344827586207
5,"('sake',)",4.0,0.017094017094017096,"('great', 'door')",1.0,0.004291845493562232,"('lovers', 'alike', 'mary')",1,0.004310344827586207
6,"('loud',)",3.0,0.01282051282051282,"('non', 'lovers')",1.0,0.004291845493562232,"('alike', 'mary', 'daniel')",1,0.004310344827586207
7,"('tucson',)",3.0,0.01282051282051282,"('lovers', 'alike')",1.0,0.004291845493562232,"('mary', 'daniel', 'natalie')",1,0.004310344827586207
8,"('dont',)",3.0,0.01282051282051282,"('alike', 'mary')",1.0,0.004291845493562232,"('daniel', 'natalie', 'used')",1,0.004310344827586207
9,"('great',)",3.0,0.01282051282051282,"('mary', 'daniel')",1.0,0.004291845493562232,"('natalie', 'used', 'brown')",1,0.004310344827586207
10,"('fuku',)",3.0,0.01282051282051282,"('daniel', 'natalie')",1.0,0.004291845493562232,"('used', 'brown', 'rice')",1,0.004310344827586207
11,"('bomb',)",3.0,0.01282051282051282,"('natalie', 'used')",1.0,0.004291845493562232,"('brown', 'rice', 'woot')",1,0.004310344827586207
12,"('awesome',)",2.0,0.008547008547008548,"('used', 'brown')",1.0,0.004291845493562232,"('rice', 'woot', 'great')",1,0.004310344827586207
13,"('bad',)",2.0,0.008547008547008548,"('brown', 'rice')",1.0,0.004291845493562232,"('woot', 'great', 'door')",1,0.004310344827586207
14,"('win',)",2.0,0.008547008547008548,"('rice', 'woot')",1.0,0.004291845493562232,"('door', 'dash', 'least')",1,0.004310344827586207
15,"('drinks',)",2.0,0.008547008547008548,"('woot', 'great')",1.0,0.004291845493562232,"('see', 'improved', 'fuku')",1,0.004310344827586207
16,"('never',)",2.0,0.008547008547008548,"('dash', 'least')",1.0,0.004291845493562232,"('dash', 'least', 'week')",1,0.004310344827586207
17,"('dj',)",2.0,0.008547008547008548,"('door', 'dash')",1.0,0.004291845493562232,"('least', 'week', 'horrible')",1,0.004310344827586207
18,"('will',)",2.0,0.008547008547008548,"('recommended', 'lovers')",1.0,0.004291845493562232,"('week', 'horrible', 'service')",1,0.004310344827586207
19,"('night',)",2.0,0.008547008547008548,"('least', 'week')",1.0,0.004291845493562232,"('horrible', 'service', 'took')",1,0.004310344827586207
20,"('year',)",2.0,0.008547008547008548,"('week', 'horrible')",1.0,0.004291845493562232,"('service', 'took', 'hour')",1,0.004310344827586207
21,"('lovers',)",2.0,0.008547008547008548,"('horrible', 'service')",1.0,0.004291845493562232,"('took', 'hour', 'get')",1,0.004310344827586207
22,"('rude',)",2.0,0.008547008547008548,"('service', 'took')",1.0,0.004291845493562232,"('hour', 'get', 'rude')",1,0.004310344827586207
23,"('better',)",2.0,0.008547008547008548,"('took', 'hour')",1.0,0.004291845493562232,"('get', 'rude', 'servers')",1,0.004310344827586207
24,"('unless',)",2.0,0.008547008547008548,"('hour', 'get')",1.0,0.004291845493562232,"('rude', 'servers', 'make')",1,0.004310344827586207
25,"('come',)",2.0,0.008547008547008548,"('get', 'rude')",1.0,0.004291845493562232,"('servers', 'make', 'possibly')",1,0.004310344827586207
26,"('bombs',)",2.0,0.008547008547008548,"('rude', 'servers')",1.0,0.004291845493562232,"('make', 'possibly', 'worst')",1,0.004310344827586207
27,"('manager',)",2.0,0.008547008547008548,"('servers', 'make')",1.0,0.004291845493562232,"('possibly', 'worst', 'tucson')",1,0.004310344827586207
28,"('natalie',)",1.0,0.004273504273504274,"('make', 'possibly')",1.0,0.004291845493562232,"('highly', 'recommended', 'lovers')",1,0.004310344827586207
29,"('woot',)",1.0,0.004273504273504274,"('lovers', 'non')",1.0,0.004291845493562232,"('service', 'highly', 'recommended')",1,0.004310344827586207
30,"('daniel',)",1.0,0.004273504273504274,"('service', 'highly')",1.0,0.004291845493562232,"('wonderful', 'service', 'highly')",1,0.004310344827586207
31,"('mary',)",1.0,0.004273504273504274,"('highly', 'recommended')",1.0,0.004291845493562232,"('drinks', 'wonderful', 'service')",1,0.004310344827586207
32,"('alike',)",1.0,0.004273504273504274,"('will', 'never')",1.0,0.004291845493562232,"('dj', 'loud', 'sake')",1,0.004310344827586207
33,"('used',)",1.0,0.004273504273504274,"('bombs', 'friends')",1.0,0.004291845493562232,"('loud', 'sake', 'bombs')",1,0.004310344827586207
34,"('non',)",1.0,0.004273504273504274,"('friends', 'idiots')",1.0,0.004291845493562232,"('sake', 'bombs', 'friends')",1,0.004310344827586207
35,"('brown',)",1.0,0.004273504273504274,"('idiots', 'got')",1.0,0.004291845493562232,"('bombs', 'friends', 'idiots')",1,0.004310344827586207
36,"('rice',)",1.0,0.004273504273504274,"('got', 'runs')",1.0,0.004291845493562232,"('friends', 'idiots', 'got')",1,0.004310344827586207
37,"('lets',)",1.0,0.004273504273504274,"('runs', '12')",1.0,0.004291845493562232,"('idiots', 'got', 'runs')",1,0.004310344827586207
38,"('recommended',)",1.0,0.004273504273504274,"('12', 'minutes')",1.0,0.004291845493562232,"('got', 'runs', '12')",1,0.004310344827586207
39,"('disgusting',)",1.0,0.004273504273504274,"('minutes', 'eating')",1.0,0.004291845493562232,"('runs', '12', 'minutes')",1,0.004310344827586207
40,"('friends',)",1.0,0.004273504273504274,"('eating', 'disgusting')",1.0,0.004291845493562232,"('12', 'minutes', 'eating')",1,0.004310344827586207
41,"('idiots',)",1.0,0.004273504273504274,"('disgusting', 'ive')",1.0,0.004291845493562232,"('minutes', 'eating', 'disgusting')",1,0.004310344827586207
42,"('got',)",1.0,0.004273504273504274,"('ive', 'ever')",1.0,0.004291845493562232,"('eating', 'disgusting', 'ive')",1,0.004310344827586207
43,"('runs',)",1.0,0.004273504273504274,"('ever', 'will')",1.0,0.004291845493562232,"('disgusting', 'ive', 'ever')",1,0.004310344827586207
44,"('12',)",1.0,0.004273504273504274,"('never', 'come')",1.0,0.004291845493562232,"('ive', 'ever', 'will')",1,0.004310344827586207
45,"('minutes',)",1.0,0.004273504273504274,"('worst', 'tucson')",1.0,0.004291845493562232,"('ever', 'will', 'never')",1,0.004310344827586207
46,"('eating',)",1.0,0.004273504273504274,"('come', 'back')",1.0,0.004291845493562232,"('will', 'never', 'come')",1,0.004310344827586207
47,"('ive',)",1.0,0.004273504273504274,"('back', 'basic')",1.0,0.004291845493562232,"('never', 'come', 'back')",1,0.004310344827586207
48,"('highly',)",1.0,0.004273504273504274,"('basic', 'bad')",1.0,0.004291845493562232,"('come', 'back', 'basic')",1,0.004310344827586207
49,"('ever',)",1.0,0.004273504273504274,"('bad', 'favorite')",1.0,0.004291845493562232,"('back', 'basic', 'bad')",1,0.004310344827586207
50,"('back',)",1.0,0.004273504273504274,"('favorite', 'tucson')",1.0,0.004291845493562232,"('basic', 'bad', 'favorite')",1,0.004310344827586207
51,"('door',)",1.0,0.004273504273504274,"('tucson', 'found')",1.0,0.004291845493562232,"('bad', 'favorite', 'tucson')",1,0.004310344827586207
52,"('favorite',)",1.0,0.004273504273504274,"('found', 'bomb')",1.0,0.004291845493562232,"('favorite', 'tucson', 'found')",1,0.004310344827586207
53,"('found',)",1.0,0.004273504273504274,"('bomb', 'excellent')",1.0,0.004291845493562232,"('tucson', 'found', 'bomb')",1,0.004310344827586207
54,"('excellent',)",1.0,0.004273504273504274,"('excellent', 'drinks')",1.0,0.004291845493562232,"('found', 'bomb', 'excellent')",1,0.004310344827586207
55,"('wonderful',)",1.0,0.004273504273504274,"('drinks', 'wonderful')",1.0,0.004291845493562232,"('bomb', 'excellent', 'drinks')",1,0.004310344827586207
56,"('basic',)",1.0,0.004273504273504274,"('wonderful', 'service')",1.0,0.004291845493562232,"('excellent', 'drinks', 'wonderful')",1,0.004310344827586207
57,"('servers',)",1.0,0.004273504273504274,"('possibly', 'worst')",1.0,0.004291845493562232,"('worst', 'tucson', 'manager')",1,0.004310344827586207
58,"('dash',)",1.0,0.004273504273504274,"('manager', 'extremely')",1.0,0.004291845493562232,"('tucson', 'manager', 'extremely')",1,0.004310344827586207
59,"('cool',)",1.0,0.004273504273504274,"('tucson', 'manager')",1.0,0.004291845493562232,"('manager', 'extremely', 'rude')",1,0.004310344827586207
60,"('environment',)",1.0,0.004273504273504274,"('night', 'really')",1.0,0.004291845493562232,"('sake', 'bomb', 'great')",1,0.004310344827586207
61,"('amy',)",1.0,0.004273504273504274,"('great', 'service')",1.0,0.004291845493562232,"('great', 'service', 'friendly')",1,0.004310344827586207
62,"('ask',)",1.0,0.004273504273504274,"('service', 'friendly')",1.0,0.004291845493562232,"('service', 'friendly', 'environment')",1,0.004310344827586207
63,"('give',)",1.0,0.004273504273504274,"('friendly', 'environment')",1.0,0.004291845493562232,"('friendly', 'environment', 'amy')",1,0.004310344827586207
