,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('great',)",24.0,0.029339853300733496,"('best', 'tampa')",9.0,0.011015911872705019,"('fried', 'ice', 'cream')",2,0.0024509803921568627
1,"('best',)",19.0,0.023227383863080684,"('king', 'kong')",4.0,0.004895960832313341,"('king', 'kong', 'roll')",2,0.0024509803921568627
2,"('good',)",17.0,0.02078239608801956,"('parking', 'lot')",3.0,0.0036719706242350062,"('amazing', 'best', 'tampa')",2,0.0024509803921568627
3,"('parking',)",13.0,0.01589242053789731,"('spot', 'tampa')",3.0,0.0036719706242350062,"('get', 'parking', 'spot')",2,0.0024509803921568627
4,"('roll',)",13.0,0.01589242053789731,"('volcano', 'roll')",3.0,0.0036719706242350062,"('delicious', 'great', 'atmosphere')",2,0.0024509803921568627
5,"('tampa',)",13.0,0.01589242053789731,"('great', 'service')",3.0,0.0036719706242350062,"('good', 'hands', 'best')",2,0.0024509803921568627
6,"('fresh',)",12.0,0.014669926650366748,"('nice', 'new')",2.0,0.0024479804161566705,"('hands', 'best', 'tampa')",2,0.0024509803921568627
7,"('try',)",12.0,0.014669926650366748,"('delicious', 'great')",2.0,0.0024479804161566705,"('great', 'wait', 'staff')",1,0.0012254901960784314
8,"('amazing',)",12.0,0.014669926650366748,"('get', 'early')",2.0,0.0024479804161566705,"('remember', 'still', 'darn')",1,0.0012254901960784314
9,"('get',)",9.0,0.011002444987775062,"('must', 'try')",2.0,0.0024479804161566705,"('still', 'darn', 'good')",1,0.0012254901960784314
10,"('always',)",8.0,0.009779951100244499,"('charge', 'extra')",2.0,0.0024479804161566705,"('darn', 'good', 'service')",1,0.0012254901960784314
11,"('service',)",8.0,0.009779951100244499,"('kong', 'roll')",2.0,0.0024479804161566705,"('good', 'service', 'tops')",1,0.0012254901960784314
12,"('spot',)",6.0,0.007334963325183374,"('really', 'good')",2.0,0.0024479804161566705,"('service', 'tops', 'great')",1,0.0012254901960784314
13,"('love',)",6.0,0.007334963325183374,"('hands', 'best')",2.0,0.0024479804161566705,"('tops', 'great', 'wait')",1,0.0012254901960784314
