,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('great',)",14.0,0.027131782945736434,"('can', 'eat')",6.0,0.011650485436893204,"('can', 'eat', 'korean')",3,0.005836575875486381
1,"('good',)",11.0,0.02131782945736434,"('korean', 'bbq')",6.0,0.011650485436893204,"('eat', 'korean', 'bbq')",3,0.005836575875486381
2,"('can',)",10.0,0.01937984496124031,"('eat', 'korean')",3.0,0.005825242718446602,"('favorite', 'antonio', 'roll')",2,0.0038910505836575876
3,"('service',)",10.0,0.01937984496124031,"('pretty', 'good')",3.0,0.005825242718446602,"('town', 'favorite', 'antonio')",2,0.0038910505836575876
4,"('roll',)",8.0,0.015503875968992248,"('u', 'can')",2.0,0.003883495145631068,"('best', 'town', 'favorite')",2,0.0038910505836575876
5,"('love',)",8.0,0.015503875968992248,"('try', 'multiple')",2.0,0.003883495145631068,"('can', 'try', 'multiple')",2,0.0038910505836575876
6,"('bbq',)",7.0,0.013565891472868217,"('can', 'try')",2.0,0.003883495145631068,"('best', 'korean', 'bbq')",1,0.0019455252918287938
7,"('korean',)",7.0,0.013565891472868217,"('great', 'price')",2.0,0.003883495145631068,"('bulgogi', 'pretty', 'good')",1,0.0019455252918287938
8,"('eat',)",7.0,0.013565891472868217,"('soup', 'salad')",2.0,0.003883495145631068,"('pretty', 'good', 'chiken')",1,0.0019455252918287938
9,"('best',)",5.0,0.009689922480620155,"('love', 'nogales')",2.0,0.003883495145631068,"('good', 'chiken', 'bulgogi')",1,0.0019455252918287938
10,"('server',)",5.0,0.009689922480620155,"('think', 'id')",2.0,0.003883495145631068,"('chiken', 'bulgogi', 'awesome')",1,0.0019455252918287938
11,"('table',)",5.0,0.009689922480620155,"('good', 'service')",2.0,0.003883495145631068,"('awesome', 'spicy', 'fish')",1,0.0019455252918287938
12,"('price',)",5.0,0.009689922480620155,"('town', 'favorite')",2.0,0.003883495145631068,"('bulgogi', 'awesome', 'spicy')",1,0.0019455252918287938
13,"('try',)",5.0,0.009689922480620155,"('great', 'prices')",2.0,0.003883495145631068,"('1250', 'options', 'bulgogi')",1,0.0019455252918287938
14,"('pretty',)",4.0,0.007751937984496124,"('best', 'town')",2.0,0.003883495145631068,"('spicy', 'fish', 'cake')",1,0.0019455252918287938
15,"('terrible',)",4.0,0.007751937984496124,"('another', 'table')",2.0,0.003883495145631068,"('fish', 'cake', 'love')",1,0.0019455252918287938
16,"('buffet',)",4.0,0.007751937984496124,"('antonio', 'roll')",2.0,0.003883495145631068,"('cake', 'love', '12')",1,0.0019455252918287938
17,"('1',)",4.0,0.007751937984496124,"('favorite', 'antonio')",2.0,0.003883495145631068,"('love', '12', 'roll')",1,0.0019455252918287938
18,"('another',)",4.0,0.007751937984496124,"('1250', 'options')",1.0,0.001941747572815534,"('12', 'roll', 'options')",1,0.0019455252918287938
19,"('kbbq',)",4.0,0.007751937984496124,"('bulgogi', 'awesome')",1.0,0.001941747572815534,"('options', 'bulgogi', 'pretty')",1,0.0019455252918287938
20,"('full',)",4.0,0.007751937984496124,"('awesome', 'spicy')",1.0,0.001941747572815534,"('try', 'multiple', 'suhi')",1,0.0019455252918287938
21,"('ask',)",4.0,0.007751937984496124,"('chiken', 'bulgogi')",1.0,0.001941747572815534,"('varieties', '1250', 'options')",1,0.0019455252918287938
22,"('waiter',)",3.0,0.005813953488372093,"('spicy', 'fish')",1.0,0.001941747572815534,"('suhi', 'varieties', '1250')",1,0.0019455252918287938
23,"('want',)",3.0,0.005813953488372093,"('good', 'chiken')",1.0,0.001941747572815534,"('multiple', 'suhi', 'varieties')",1,0.0019455252918287938
24,"('think',)",3.0,0.005813953488372093,"('bulgogi', 'pretty')",1.0,0.001941747572815534,"('options', '150250', 'u')",1,0.0019455252918287938
25,"('town',)",3.0,0.005813953488372093,"('options', 'bulgogi')",1.0,0.001941747572815534,"('affordable', 'can', 'try')",1,0.0019455252918287938
26,"('like',)",3.0,0.005813953488372093,"('affordable', 'can')",1.0,0.001941747572815534,"('portions', 'affordable', 'can')",1,0.0019455252918287938
27,"('plates',)",3.0,0.005813953488372093,"('varieties', '1250')",1.0,0.001941747572815534,"('good', 'portions', 'affordable')",1,0.0019455252918287938
28,"('us',)",3.0,0.005813953488372093,"('suhi', 'varieties')",1.0,0.001941747572815534,"('good', 'good', 'portions')",1,0.0019455252918287938
29,"('though',)",3.0,0.005813953488372093,"('multiple', 'suhi')",1.0,0.001941747572815534,"('pretty', 'good', 'good')",1,0.0019455252918287938
30,"('priced',)",3.0,0.005813953488372093,"('cake', 'love')",1.0,0.001941747572815534,"('choices', 'pretty', 'good')",1,0.0019455252918287938
31,"('trying',)",3.0,0.005813953488372093,"('portions', 'affordable')",1.0,0.001941747572815534,"('great', 'choices', 'pretty')",1,0.0019455252918287938
32,"('prices',)",3.0,0.005813953488372093,"('good', 'portions')",1.0,0.001941747572815534,"('three', 'great', 'choices')",1,0.0019455252918287938
33,"('awesome',)",3.0,0.005813953488372093,"('good', 'good')",1.0,0.001941747572815534,"('roll', 'three', 'great')",1,0.0019455252918287938
34,"('back',)",3.0,0.005813953488372093,"('choices', 'pretty')",1.0,0.001941747572815534,"('roll', 'options', '150250')",1,0.0019455252918287938
