,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('good',)",8.0,0.1095890410958904,"('service', 'excellent')",2.0,0.027777777777777776,"('unagi', 'bento', 'box')",1,0.014084507042253521
1,"('great',)",8.0,0.1095890410958904,"('great', 'prices')",2.0,0.027777777777777776,"('wonderful', 'staff', 'good')",1,0.014084507042253521
2,"('service',)",5.0,0.0684931506849315,"('service', 'great')",2.0,0.027777777777777776,"('tuna', 'roll', 'salad')",1,0.014084507042253521
3,"('excellent',)",3.0,0.0410958904109589,"('staff', 'good')",2.0,0.027777777777777776,"('dynamite', 'tuna', 'roll')",1,0.014084507042253521
4,"('hibachi',)",3.0,0.0410958904109589,"('unagi', 'bento')",1.0,0.013888888888888888,"('spot', 'dynamite', 'tuna')",1,0.014084507042253521
5,"('box',)",2.0,0.0273972602739726,"('wonderful', 'staff')",1.0,0.013888888888888888,"('shushi', 'spot', 'dynamite')",1,0.014084507042253521
6,"('try',)",2.0,0.0273972602739726,"('spot', 'dynamite')",1.0,0.013888888888888888,"('good', 'shushi', 'spot')",1,0.014084507042253521
7,"('price',)",2.0,0.0273972602739726,"('shushi', 'spot')",1.0,0.013888888888888888,"('staff', 'good', 'shushi')",1,0.014084507042253521
8,"('staff',)",2.0,0.0273972602739726,"('good', 'shushi')",1.0,0.013888888888888888,"('price', 'wonderful', 'staff')",1,0.014084507042253521
9,"('love',)",2.0,0.0273972602739726,"('price', 'wonderful')",1.0,0.013888888888888888,"('salad', 'service', 'excellent')",1,0.014084507042253521
10,"('prices',)",2.0,0.0273972602739726,"('tuna', 'roll')",1.0,0.013888888888888888,"('great', 'price', 'wonderful')",1,0.014084507042253521
11,"('wonderful',)",1.0,0.0136986301369863,"('great', 'price')",1.0,0.013888888888888888,"('hibachi', 'great', 'price')",1,0.014084507042253521
12,"('shushi',)",1.0,0.0136986301369863,"('hibachi', 'great')",1.0,0.013888888888888888,"('great', 'hibachi', 'great')",1,0.014084507042253521
13,"('spot',)",1.0,0.0136986301369863,"('great', 'hibachi')",1.0,0.013888888888888888,"('tea', 'great', 'hibachi')",1,0.014084507042253521
14,"('dynamite',)",1.0,0.0136986301369863,"('tea', 'great')",1.0,0.013888888888888888,"('milk', 'tea', 'great')",1,0.014084507042253521
15,"('tuna',)",1.0,0.0136986301369863,"('milk', 'tea')",1.0,0.013888888888888888,"('try', 'milk', 'tea')",1,0.014084507042253521
16,"('unagi',)",1.0,0.0136986301369863,"('try', 'milk')",1.0,0.013888888888888888,"('roll', 'salad', 'service')",1,0.014084507042253521
