,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('great',)",7.0,0.023178807947019868,"('early', 'bird')",3.0,0.009966777408637873,"('early', 'bird', 'specials')",2,0.006666666666666667
1,"('service',)",6.0,0.019867549668874173,"('great', 'service')",2.0,0.006644518272425249,"('j', 'han', 'great')",1,0.0033333333333333335
2,"('time',)",6.0,0.019867549668874173,"('happy', 'hour')",2.0,0.006644518272425249,"('tail', 'chefs', 'hat')",1,0.0033333333333333335
3,"('good',)",6.0,0.019867549668874173,"('excellent', 'service')",2.0,0.006644518272425249,"('showman', 'quite', 'comedian')",1,0.0033333333333333335
4,"('get',)",5.0,0.016556291390728478,"('service', 'amazing')",2.0,0.006644518272425249,"('real', 'showman', 'quite')",1,0.0033333333333333335
5,"('love',)",5.0,0.016556291390728478,"('bird', 'specials')",2.0,0.006644518272425249,"('guy', 'real', 'showman')",1,0.0033333333333333335
6,"('wait',)",4.0,0.013245033112582781,"('eat', 'free')",2.0,0.006644518272425249,"('trick', 'guy', 'real')",1,0.0033333333333333335
7,"('like',)",4.0,0.013245033112582781,"('light', 'color')",2.0,0.006644518272425249,"('hat', 'trick', 'guy')",1,0.0033333333333333335
8,"('fun',)",4.0,0.013245033112582781,"('priority', 'seating')",2.0,0.006644518272425249,"('chefs', 'hat', 'trick')",1,0.0033333333333333335
9,"('bird',)",3.0,0.009933774834437087,"('wait', 'time')",2.0,0.006644518272425249,"('shrimps', 'tail', 'chefs')",1,0.0033333333333333335
10,"('10',)",3.0,0.009933774834437087,"('guy', 'real')",1.0,0.0033222591362126247,"('comedian', 'make', 'wait')",1,0.0033333333333333335
11,"('delicious',)",3.0,0.009933774834437087,"('trick', 'guy')",1.0,0.0033222591362126247,"('flip', 'shrimps', 'tail')",1,0.0033333333333333335
12,"('dont',)",3.0,0.009933774834437087,"('hat', 'trick')",1.0,0.0033222591362126247,"('volcano', 'flip', 'shrimps')",1,0.0033333333333333335
13,"('sauce',)",3.0,0.009933774834437087,"('chefs', 'hat')",1.0,0.0033222591362126247,"('onion', 'volcano', 'flip')",1,0.0033333333333333335
14,"('early',)",3.0,0.009933774834437087,"('j', 'han')",1.0,0.0033222591362126247,"('flaming', 'onion', 'volcano')",1,0.0033333333333333335
15,"('awesome',)",3.0,0.009933774834437087,"('tail', 'chefs')",1.0,0.0033222591362126247,"('wildly', 'flaming', 'onion')",1,0.0033333333333333335
