,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('great',)",4.0,0.0784313725490196,"('chinese', 'japanese')",2,0.04,"('new', 'sit', 'chinese')",1,0.02040816326530612
1,"('chinese',)",3.0,0.058823529411764705,"('new', 'sit')",1,0.02,"('website', 'cant', 'find')",1,0.02040816326530612
2,"('good',)",3.0,0.058823529411764705,"('tits', 'quick')",1,0.02,"('find', 'online', 'great')",1,0.02040816326530612
3,"('japanese',)",2.0,0.0392156862745098,"('find', 'online')",1,0.02,"('online', 'great', 'good')",1,0.02040816326530612
4,"('amazing',)",2.0,0.0392156862745098,"('online', 'great')",1,0.02,"('great', 'good', 'prices')",1,0.02040816326530612
5,"('new',)",1.0,0.0196078431372549,"('great', 'good')",1,0.02,"('good', 'prices', 'great')",1,0.02040816326530612
6,"('fucking',)",1.0,0.0196078431372549,"('good', 'prices')",1,0.02,"('prices', 'great', 'will')",1,0.02040816326530612
7,"('find',)",1.0,0.0196078431372549,"('prices', 'great')",1,0.02,"('great', 'will', 'definitely')",1,0.02040816326530612
8,"('online',)",1.0,0.0196078431372549,"('great', 'will')",1,0.02,"('will', 'definitely', 'back')",1,0.02040816326530612
9,"('prices',)",1.0,0.0196078431372549,"('will', 'definitely')",1,0.02,"('definitely', 'back', 'fucking')",1,0.02040816326530612
10,"('will',)",1.0,0.0196078431372549,"('definitely', 'back')",1,0.02,"('back', 'fucking', 'tits')",1,0.02040816326530612
11,"('definitely',)",1.0,0.0196078431372549,"('back', 'fucking')",1,0.02,"('fucking', 'tits', 'quick')",1,0.02040816326530612
12,"('back',)",1.0,0.0196078431372549,"('fucking', 'tits')",1,0.02,"('tits', 'quick', 'convenient')",1,0.02040816326530612
13,"('convenient',)",1.0,0.0196078431372549,"('quick', 'convenient')",1,0.02,"('quick', 'convenient', 'finally')",1,0.02040816326530612
14,"('tits',)",1.0,0.0196078431372549,"('website', 'cant')",1,0.02,"('convenient', 'finally', 'good')",1,0.02040816326530612
15,"('quick',)",1.0,0.0196078431372549,"('convenient', 'finally')",1,0.02,"('finally', 'good', 'chinese')",1,0.02040816326530612
16,"('website',)",1.0,0.0196078431372549,"('finally', 'good')",1,0.02,"('good', 'chinese', 'japanese')",1,0.02040816326530612
17,"('finally',)",1.0,0.0196078431372549,"('good', 'chinese')",1,0.02,"('chinese', 'japanese', 'wilmington')",1,0.02040816326530612
18,"('wilmington',)",1.0,0.0196078431372549,"('japanese', 'wilmington')",1,0.02,"('japanese', 'wilmington', 'great')",1,0.02040816326530612
19,"('recommend',)",1.0,0.0196078431372549,"('wilmington', 'great')",1,0.02,"('wilmington', 'great', 'chinese')",1,0.02040816326530612
20,"('general',)",1.0,0.0196078431372549,"('great', 'chinese')",1,0.02,"('great', 'chinese', 'recommend')",1,0.02040816326530612
21,"('chicken',)",1.0,0.0196078431372549,"('chinese', 'recommend')",1,0.02,"('chinese', 'recommend', 'general')",1,0.02040816326530612
22,"('cant',)",1.0,0.0196078431372549,"('recommend', 'general')",1,0.02,"('recommend', 'general', 'chicken')",1,0.02040816326530612
