,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('service',)",3.0,0.057692307692307696,"('love', 'came')",1,0.0196078431372549,"('love', 'came', 'dinner')",1.0,0.02
1,"('great',)",2.0,0.038461538461538464,"('salmon', 'eel')",1,0.0196078431372549,"('either', 'salmon', 'eel')",1.0,0.02
2,"('tea',)",2.0,0.038461538461538464,"('hibachi', 'bad')",1,0.0196078431372549,"('tried', 'hibachi', 'bad')",1.0,0.02
3,"('excellent',)",2.0,0.038461538461538464,"('bad', 'filled')",1,0.0196078431372549,"('hibachi', 'bad', 'filled')",1.0,0.02
4,"('boared',)",1.0,0.019230769230769232,"('filled', 'crap')",1,0.0196078431372549,"('bad', 'filled', 'crap')",1.0,0.02
5,"('salmon',)",1.0,0.019230769230769232,"('crap', 'everyones')",1,0.0196078431372549,"('filled', 'crap', 'everyones')",1.0,0.02
6,"('filled',)",1.0,0.019230769230769232,"('everyones', 'special')",1,0.0196078431372549,"('crap', 'everyones', 'special')",1.0,0.02
7,"('crap',)",1.0,0.019230769230769232,"('special', 'roll')",1,0.0196078431372549,"('everyones', 'special', 'roll')",1.0,0.02
8,"('everyones',)",1.0,0.019230769230769232,"('roll', 'missed')",1,0.0196078431372549,"('special', 'roll', 'missed')",1.0,0.02
9,"('special',)",1.0,0.019230769230769232,"('missed', 'something')",1,0.0196078431372549,"('roll', 'missed', 'something')",1.0,0.02
10,"('roll',)",1.0,0.019230769230769232,"('something', 'either')",1,0.0196078431372549,"('missed', 'something', 'either')",1.0,0.02
11,"('missed',)",1.0,0.019230769230769232,"('either', 'salmon')",1,0.0196078431372549,"('something', 'either', 'salmon')",1.0,0.02
12,"('something',)",1.0,0.019230769230769232,"('eel', 'cucumber')",1,0.0196078431372549,"('salmon', 'eel', 'cucumber')",1.0,0.02
13,"('either',)",1.0,0.019230769230769232,"('havent', 'tried')",1,0.0196078431372549,"('came', 'dinner', 'found')",1.0,0.02
14,"('eel',)",1.0,0.019230769230769232,"('cucumber', 'quite')",1,0.0196078431372549,"('eel', 'cucumber', 'quite')",1.0,0.02
15,"('hibachi',)",1.0,0.019230769230769232,"('quite', 'expensive')",1,0.0196078431372549,"('cucumber', 'quite', 'expensive')",1.0,0.02
16,"('cucumber',)",1.0,0.019230769230769232,"('expensive', 'cheap')",1,0.0196078431372549,"('quite', 'expensive', 'cheap')",1.0,0.02
