,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('karaoke',)",3.0,0.05172413793103448,"('look', 'like')",1,0.017543859649122806,"('look', 'like', 'dog')",1.0,0.017857142857142856
1,"('alley',)",3.0,0.05172413793103448,"('still', 'open')",1,0.017543859649122806,"('like', 'dog', 'bounty')",1.0,0.017857142857142856
2,"('look',)",1.0,0.017241379310344827,"('construction', 'lots')",1,0.017543859649122806,"('open', 'construction', 'lots')",1.0,0.017857142857142856
3,"('get',)",1.0,0.017241379310344827,"('lots', 'empty')",1,0.017543859649122806,"('construction', 'lots', 'empty')",1.0,0.017857142857142856
4,"('lots',)",1.0,0.017241379310344827,"('empty', 'spaces')",1,0.017543859649122806,"('lots', 'empty', 'spaces')",1.0,0.017857142857142856
5,"('empty',)",1.0,0.017241379310344827,"('spaces', 'several')",1,0.017543859649122806,"('empty', 'spaces', 'several')",1.0,0.017857142857142856
6,"('spaces',)",1.0,0.017241379310344827,"('several', 'lights')",1,0.017543859649122806,"('spaces', 'several', 'lights')",1.0,0.017857142857142856
7,"('several',)",1.0,0.017241379310344827,"('lights', 'printers')",1,0.017543859649122806,"('several', 'lights', 'printers')",1.0,0.017857142857142856
8,"('lights',)",1.0,0.017241379310344827,"('printers', 'alley')",1,0.017543859649122806,"('lights', 'printers', 'alley')",1.0,0.017857142857142856
9,"('printers',)",1.0,0.017241379310344827,"('alley', 'sign')",1,0.017543859649122806,"('printers', 'alley', 'sign')",1.0,0.017857142857142856
10,"('sign',)",1.0,0.017241379310344827,"('sign', 'revamp')",1,0.017543859649122806,"('alley', 'sign', 'revamp')",1.0,0.017857142857142856
11,"('revamp',)",1.0,0.017241379310344827,"('revamp', 'close')",1,0.017543859649122806,"('sign', 'revamp', 'close')",1.0,0.017857142857142856
12,"('close',)",1.0,0.017241379310344827,"('close', 'great')",1,0.017543859649122806,"('revamp', 'close', 'great')",1.0,0.017857142857142856
13,"('great',)",1.0,0.017241379310344827,"('great', 'get')",1,0.017543859649122806,"('close', 'great', 'get')",1.0,0.017857142857142856
14,"('away',)",1.0,0.017241379310344827,"('get', 'away')",1,0.017543859649122806,"('great', 'get', 'away')",1.0,0.017857142857142856
15,"('open',)",1.0,0.017241379310344827,"('away', 'touristy')",1,0.017543859649122806,"('get', 'away', 'touristy')",1.0,0.017857142857142856
16,"('touristy',)",1.0,0.017241379310344827,"('touristy', 'areas')",1,0.017543859649122806,"('away', 'touristy', 'areas')",1.0,0.017857142857142856
17,"('areas',)",1.0,0.017241379310344827,"('areas', 'broadway')",1,0.017543859649122806,"('touristy', 'areas', 'broadway')",1.0,0.017857142857142856
18,"('broadway',)",1.0,0.017241379310344827,"('broadway', 'second')",1,0.017543859649122806,"('areas', 'broadway', 'second')",1.0,0.017857142857142856
19,"('second',)",1.0,0.017241379310344827,"('second', 'blues')",1,0.017543859649122806,"('broadway', 'second', 'blues')",1.0,0.017857142857142856
20,"('blues',)",1.0,0.017241379310344827,"('blues', 'bar')",1,0.017543859649122806,"('second', 'blues', 'bar')",1.0,0.017857142857142856
21,"('bar',)",1.0,0.017241379310344827,"('bar', 'karaoke')",1,0.017543859649122806,"('blues', 'bar', 'karaoke')",1.0,0.017857142857142856
22,"('strip',)",1.0,0.017241379310344827,"('karaoke', 'strip')",1,0.017543859649122806,"('bar', 'karaoke', 'strip')",1.0,0.017857142857142856
23,"('club',)",1.0,0.017241379310344827,"('strip', 'club')",1,0.017543859649122806,"('karaoke', 'strip', 'club')",1.0,0.017857142857142856
