,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('great',)",7.0,0.0603448275862069,"('lunch', 'special')",2.0,0.017391304347826087,"('great', 'lunch', 'special')",2,0.017543859649122806
1,"('good',)",3.0,0.02586206896551724,"('great', 'lunch')",2.0,0.017391304347826087,"('split', 'friends', 'better')",1,0.008771929824561403
2,"('lunch',)",3.0,0.02586206896551724,"('great', 'love')",2.0,0.017391304347826087,"('people', 'via', 'mystery')",1,0.008771929824561403
3,"('love',)",3.0,0.02586206896551724,"('split', 'friends')",1.0,0.008695652173913044,"('shadows', 'comes', 'sumo')",1,0.008771929824561403
4,"('excellent',)",2.0,0.017241379310344827,"('size', 'flavor')",1.0,0.008695652173913044,"('bc', 'shadows', 'comes')",1,0.008771929824561403
5,"('ever',)",2.0,0.017241379310344827,"('comes', 'sumo')",1.0,0.008695652173913044,"('work', 'bc', 'shadows')",1,0.008771929824561403
6,"('best',)",2.0,0.017241379310344827,"('shadows', 'comes')",1.0,0.008695652173913044,"('genius', 'work', 'bc')",1,0.008771929824561403
7,"('fish',)",2.0,0.017241379310344827,"('bc', 'shadows')",1.0,0.008695652173913044,"('realize', 'genius', 'work')",1,0.008771929824561403
8,"('special',)",2.0,0.017241379310344827,"('work', 'bc')",1.0,0.008695652173913044,"('flynn', 'realize', 'genius')",1,0.008771929824561403
9,"('like',)",2.0,0.017241379310344827,"('genius', 'work')",1.0,0.008695652173913044,"('like', 'flynn', 'realize')",1,0.008771929824561403
10,"('service',)",2.0,0.017241379310344827,"('realize', 'genius')",1.0,0.008695652173913044,"('unknown', 'like', 'flynn')",1,0.008771929824561403
11,"('places',)",2.0,0.017241379310344827,"('flynn', 'realize')",1.0,0.008695652173913044,"('hidden', 'unknown', 'like')",1,0.008771929824561403
12,"('hibachi',)",2.0,0.017241379310344827,"('like', 'flynn')",1.0,0.008695652173913044,"('mystery', 'hidden', 'unknown')",1,0.008771929824561403
13,"('better',)",2.0,0.017241379310344827,"('unknown', 'like')",1.0,0.008695652173913044,"('via', 'mystery', 'hidden')",1,0.008771929824561403
14,"('also',)",2.0,0.017241379310344827,"('hidden', 'unknown')",1.0,0.008695652173913044,"('drawing', 'people', 'via')",1,0.008771929824561403
15,"('realize',)",1.0,0.008620689655172414,"('mystery', 'hidden')",1.0,0.008695652173913044,"('sumo', 'size', 'flavor')",1,0.008771929824561403
16,"('bc',)",1.0,0.008620689655172414,"('via', 'mystery')",1.0,0.008695652173913044,"('intentional', 'drawing', 'people')",1,0.008771929824561403
17,"('closed',)",1.0,0.008620689655172414,"('people', 'via')",1.0,0.008695652173913044,"('think', 'intentional', 'drawing')",1,0.008771929824561403
18,"('work',)",1.0,0.008620689655172414,"('drawing', 'people')",1.0,0.008695652173913044,"('closed', 'think', 'intentional')",1,0.008771929824561403
19,"('genius',)",1.0,0.008620689655172414,"('intentional', 'drawing')",1.0,0.008695652173913044,"('theyre', 'closed', 'think')",1,0.008771929824561403
20,"('think',)",1.0,0.008620689655172414,"('think', 'intentional')",1.0,0.008695652173913044,"('thinking', 'theyre', 'closed')",1,0.008771929824561403
21,"('flynn',)",1.0,0.008620689655172414,"('closed', 'think')",1.0,0.008695652173913044,"('u', 'thinking', 'theyre')",1,0.008771929824561403
22,"('mystery',)",1.0,0.008620689655172414,"('theyre', 'closed')",1.0,0.008695652173913044,"('may', 'u', 'thinking')",1,0.008771929824561403
23,"('intentional',)",1.0,0.008620689655172414,"('thinking', 'theyre')",1.0,0.008695652173913044,"('looking', 'may', 'u')",1,0.008771929824561403
24,"('drawing',)",1.0,0.008620689655172414,"('u', 'thinking')",1.0,0.008695652173913044,"('exterior', 'looking', 'may')",1,0.008771929824561403
25,"('people',)",1.0,0.008620689655172414,"('may', 'u')",1.0,0.008695652173913044,"('also', 'exterior', 'looking')",1,0.008771929824561403
26,"('via',)",1.0,0.008620689655172414,"('looking', 'may')",1.0,0.008695652173913044,"('staff', 'also', 'exterior')",1,0.008771929824561403
27,"('unknown',)",1.0,0.008620689655172414,"('exterior', 'looking')",1.0,0.008695652173913044,"('nice', 'staff', 'also')",1,0.008771929824561403
