,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('great',)",6.0,0.04285714285714286,"('happy', 'hour')",3.0,0.02158273381294964,"('panang', 'curry', 'far')",2,0.014492753623188406
1,"('love',)",5.0,0.03571428571428571,"('best', 'panang')",2.0,0.014388489208633094,"('far', 'tampa', 'area')",2,0.014492753623188406
2,"('get',)",4.0,0.02857142857142857,"('curry', 'far')",2.0,0.014388489208633094,"('happy', 'hour', '57')",2,0.014492753623188406
3,"('groupon',)",4.0,0.02857142857142857,"('far', 'tampa')",2.0,0.014388489208633094,"('best', 'panang', 'curry')",2,0.014492753623188406
4,"('delicious',)",3.0,0.02142857142857143,"('tampa', 'area')",2.0,0.014388489208633094,"('curry', 'far', 'tampa')",2,0.014492753623188406
5,"('tampa',)",3.0,0.02142857142857143,"('hour', '57')",2.0,0.014388489208633094,"('fresh', 'delicious', 'cozy')",1,0.007246376811594203
6,"('hour',)",3.0,0.02142857142857143,"('panang', 'curry')",2.0,0.014388489208633094,"('great', 'fresh', 'delicious')",1,0.007246376811594203
7,"('happy',)",3.0,0.02142857142857143,"('yummy', 'reasonably')",1.0,0.007194244604316547,"('priced', 'great', 'fresh')",1,0.007246376811594203
8,"('curry',)",3.0,0.02142857142857143,"('pad', 'thai')",1.0,0.007194244604316547,"('reasonably', 'priced', 'great')",1,0.007246376811594203
9,"('service',)",3.0,0.02142857142857143,"('thai', 'curry')",1.0,0.007194244604316547,"('yummy', 'reasonably', 'priced')",1,0.007246376811594203
10,"('soup',)",2.0,0.014285714285714285,"('curry', 'yummy')",1.0,0.007194244604316547,"('tampa', 'good', 'fast')",1,0.007246376811594203
11,"('roll',)",2.0,0.014285714285714285,"('priced', 'great')",1.0,0.007194244604316547,"('thai', 'curry', 'yummy')",1,0.007246376811594203
12,"('good',)",2.0,0.014285714285714285,"('reasonably', 'priced')",1.0,0.007194244604316547,"('pad', 'thai', 'curry')",1,0.007246376811594203
