,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('great',)",29.0,0.0651685393258427,"('tiger', 'roll')",5.0,0.01126126126126126,"('great', 'service', 'great')",2,0.004514672686230248
1,"('roll',)",16.0,0.035955056179775284,"('spicy', 'salmon')",4.0,0.009009009009009009,"('hidden', 'gem', 'great')",2,0.004514672686230248
2,"('good',)",13.0,0.029213483146067417,"('service', 'great')",3.0,0.006756756756756757,"('awesome', '1', 'beers')",2,0.004514672686230248
3,"('best',)",10.0,0.02247191011235955,"('great', 'service')",3.0,0.006756756756756757,"('lunch', 'special', 'great')",2,0.004514672686230248
4,"('love',)",9.0,0.020224719101123594,"('best', 'ever')",3.0,0.006756756756756757,"('roll', 'sun', 'roll')",2,0.004514672686230248
5,"('beer',)",9.0,0.020224719101123594,"('cheap', 'beer')",3.0,0.006756756756756757,"('check', 'offer', 'expired')",1,0.002257336343115124
6,"('service',)",8.0,0.017977528089887642,"('sun', 'roll')",3.0,0.006756756756756757,"('service', 'impersonal', 'delicious')",1,0.002257336343115124
7,"('beers',)",7.0,0.015730337078651686,"('best', 'indy')",3.0,0.006756756756756757,"('great', 'great', 'service')",1,0.002257336343115124
8,"('awesome',)",6.0,0.01348314606741573,"('1', 'beers')",2.0,0.0045045045045045045,"('service', 'great', 'great')",1,0.002257336343115124
9,"('prices',)",6.0,0.01348314606741573,"('broad', 'ripple')",2.0,0.0045045045045045045,"('good', 'service', 'great')",1,0.002257336343115124
10,"('tiger',)",6.0,0.01348314606741573,"('great', 'love')",2.0,0.0045045045045045045,"('good', 'good', 'service')",1,0.002257336343115124
11,"('specials',)",5.0,0.011235955056179775,"('roll', 'amazing')",2.0,0.0045045045045045045,"('sukiyaki', 'good', 'good')",1,0.002257336343115124
12,"('spicy',)",5.0,0.011235955056179775,"('roll', 'good')",2.0,0.0045045045045045045,"('beef', 'sukiyaki', 'good')",1,0.002257336343115124
13,"('amazing',)",5.0,0.011235955056179775,"('roll', 'sun')",2.0,0.0045045045045045045,"('recommend', 'beef', 'sukiyaki')",1,0.002257336343115124
14,"('2',)",5.0,0.011235955056179775,"('beer', 'specials')",2.0,0.0045045045045045045,"('delicious', 'recommend', 'beef')",1,0.002257336343115124
15,"('go',)",4.0,0.008988764044943821,"('awesome', '1')",2.0,0.0045045045045045045,"('impersonal', 'delicious', 'recommend')",1,0.002257336343115124
16,"('sun',)",4.0,0.008988764044943821,"('love', 'love')",2.0,0.0045045045045045045,"('great', 'quality', 'service')",1,0.002257336343115124
17,"('spot',)",4.0,0.008988764044943821,"('lunch', 'specials')",2.0,0.0045045045045045045,"('quality', 'service', 'impersonal')",1,0.002257336343115124
18,"('like',)",4.0,0.008988764044943821,"('gem', 'great')",2.0,0.0045045045045045045,"('great', 'price', '2')",1,0.002257336343115124
19,"('salmon',)",4.0,0.008988764044943821,"('cant', 'beat')",2.0,0.0045045045045045045,"('price', 'great', 'quality')",1,0.002257336343115124
20,"('lunch',)",4.0,0.008988764044943821,"('lunch', 'special')",2.0,0.0045045045045045045,"('amazing', 'price', 'great')",1,0.002257336343115124
21,"('check',)",4.0,0.008988764044943821,"('special', 'great')",2.0,0.0045045045045045045,"('fresh', 'amazing', 'price')",1,0.002257336343115124
22,"('fresh',)",4.0,0.008988764044943821,"('dollar', 'beers')",2.0,0.0045045045045045045,"('love', 'fresh', 'amazing')",1,0.002257336343115124
23,"('cheap',)",4.0,0.008988764044943821,"('hidden', 'gem')",2.0,0.0045045045045045045,"('yummey', 'love', 'fresh')",1,0.002257336343115124
24,"('new',)",3.0,0.006741573033707865,"('yummey', 'love')",1.0,0.0022522522522522522,"('great', 'yummey', 'love')",1,0.002257336343115124
25,"('excellent',)",3.0,0.006741573033707865,"('beef', 'sukiyaki')",1.0,0.0022522522522522522,"('enough', 'great', 'yummey')",1,0.002257336343115124
26,"('atmosphere',)",3.0,0.006741573033707865,"('recommend', 'beef')",1.0,0.0022522522522522522,"('stress', 'enough', 'great')",1,0.002257336343115124
27,"('two',)",3.0,0.006741573033707865,"('love', 'fresh')",1.0,0.0022522522522522522,"('service', 'great', 'price')",1,0.002257336343115124
28,"('ever',)",3.0,0.006741573033707865,"('delicious', 'recommend')",1.0,0.0022522522522522522,"('price', '2', 'beers')",1,0.002257336343115124
29,"('loved',)",3.0,0.006741573033707865,"('fresh', 'amazing')",1.0,0.0022522522522522522,"('check', 'needs', 'stress')",1,0.002257336343115124
30,"('christmas',)",3.0,0.006741573033707865,"('impersonal', 'delicious')",1.0,0.0022522522522522522,"('2', 'beers', 'thursday')",1,0.002257336343115124
31,"('indy',)",3.0,0.006741573033707865,"('quality', 'service')",1.0,0.0022522522522522522,"('go', 'spot', 'can')",1,0.002257336343115124
32,"('better',)",3.0,0.006741573033707865,"('amazing', 'price')",1.0,0.0022522522522522522,"('new', 'go', 'spot')",1,0.002257336343115124
33,"('time',)",3.0,0.006741573033707865,"('price', 'great')",1.0,0.0022522522522522522,"('amazing', 'new', 'go')",1,0.002257336343115124
34,"('beat',)",3.0,0.006741573033707865,"('service', 'impersonal')",1.0,0.0022522522522522522,"('nigiri', 'amazing', 'new')",1,0.002257336343115124
35,"('favorite',)",3.0,0.006741573033707865,"('great', 'quality')",1.0,0.0022522522522522522,"('tuna', 'nigiri', 'amazing')",1,0.002257336343115124
36,"('special',)",3.0,0.006741573033707865,"('sukiyaki', 'good')",1.0,0.0022522522522522522,"('great', 'tuna', 'nigiri')",1,0.002257336343115124
37,"('staff',)",3.0,0.006741573033707865,"('check', 'offer')",1.0,0.0022522522522522522,"('small', 'great', 'tuna')",1,0.002257336343115124
38,"('price',)",3.0,0.006741573033707865,"('great', 'great')",1.0,0.0022522522522522522,"('pretty', 'small', 'great')",1,0.002257336343115124
39,"('yummy',)",3.0,0.006741573033707865,"('good', 'good')",1.0,0.0022522522522522522,"('early', 'pretty', 'small')",1,0.002257336343115124
40,"('recommend',)",3.0,0.006741573033707865,"('good', 'service')",1.0,0.0022522522522522522,"('get', 'early', 'pretty')",1,0.002257336343115124
41,"('1',)",3.0,0.006741573033707865,"('great', 'tuna')",1.0,0.0022522522522522522,"('great', 'get', 'early')",1,0.002257336343115124
42,"('dynamite',)",2.0,0.0044943820224719105,"('small', 'great')",1.0,0.0022522522522522522,"('real', 'great', 'get')",1,0.002257336343115124
43,"('fantastic',)",2.0,0.0044943820224719105,"('pretty', 'small')",1.0,0.0022522522522522522,"('hype', 'real', 'great')",1,0.002257336343115124
44,"('gem',)",2.0,0.0044943820224719105,"('early', 'pretty')",1.0,0.0022522522522522522,"('time', 'hype', 'real')",1,0.002257336343115124
45,"('cant',)",2.0,0.0044943820224719105,"('get', 'early')",1.0,0.0022522522522522522,"('beers', 'time', 'hype')",1,0.002257336343115124
46,"('take',)",2.0,0.0044943820224719105,"('great', 'get')",1.0,0.0022522522522522522,"('dollar', 'beers', 'time')",1,0.002257336343115124
47,"('really',)",2.0,0.0044943820224719105,"('real', 'great')",1.0,0.0022522522522522522,"('2', 'dollar', 'beers')",1,0.002257336343115124
48,"('delicious',)",2.0,0.0044943820224719105,"('hype', 'real')",1.0,0.0022522522522522522,"('service', '2', 'dollar')",1,0.002257336343115124
49,"('early',)",2.0,0.0044943820224719105,"('time', 'hype')",1.0,0.0022522522522522522,"('slow', 'service', '2')",1,0.002257336343115124
50,"('tokyo',)",2.0,0.0044943820224719105,"('beers', 'time')",1.0,0.0022522522522522522,"('prices', 'slow', 'service')",1,0.002257336343115124
51,"('dollar',)",2.0,0.0044943820224719105,"('2', 'dollar')",1.0,0.0022522522522522522,"('okay', 'prices', 'slow')",1,0.002257336343115124
52,"('hidden',)",2.0,0.0044943820224719105,"('service', '2')",1.0,0.0022522522522522522,"('selection', 'okay', 'prices')",1,0.002257336343115124
53,"('spider',)",2.0,0.0044943820224719105,"('slow', 'service')",1.0,0.0022522522522522522,"('good', 'selection', 'okay')",1,0.002257336343115124
54,"('street',)",2.0,0.0044943820224719105,"('prices', 'slow')",1.0,0.0022522522522522522,"('thursday', 'good', 'selection')",1,0.002257336343115124
55,"('ripple',)",2.0,0.0044943820224719105,"('okay', 'prices')",1.0,0.0022522522522522522,"('beers', 'thursday', 'good')",1,0.002257336343115124
56,"('nights',)",2.0,0.0044943820224719105,"('selection', 'okay')",1.0,0.0022522522522522522,"('needs', 'stress', 'enough')",1,0.002257336343115124
57,"('broad',)",2.0,0.0044943820224719105,"('good', 'selection')",1.0,0.0022522522522522522,"('always', 'check', 'needs')",1,0.002257336343115124
58,"('reasonable',)",2.0,0.0044943820224719105,"('thursday', 'good')",1.0,0.0022522522522522522,"('can', 'beat', 'lunch')",1,0.002257336343115124
59,"('little',)",2.0,0.0044943820224719105,"('beers', 'thursday')",1.0,0.0022522522522522522,"('spot', 'reasonable', 'prices')",1,0.002257336343115124
60,"('ive',)",2.0,0.0044943820224719105,"('2', 'beers')",1.0,0.0022522522522522522,"('bar', 'ive', 'better')",1,0.002257336343115124
61,"('order',)",2.0,0.0044943820224719105,"('price', '2')",1.0,0.0022522522522522522,"('fav', 'bar', 'ive')",1,0.002257336343115124
62,"('can',)",2.0,0.0044943820224719105,"('great', 'price')",1.0,0.0022522522522522522,"('new', 'fav', 'bar')",1,0.002257336343115124
63,"('friendly',)",2.0,0.0044943820224719105,"('enough', 'great')",1.0,0.0022522522522522522,"('die', 'new', 'fav')",1,0.002257336343115124
64,"('fire',)",2.0,0.0044943820224719105,"('great', 'yummey')",1.0,0.0022522522522522522,"('roll', 'die', 'new')",1,0.002257336343115124
65,"('nigiri',)",2.0,0.0044943820224719105,"('staff', 'nice')",1.0,0.0022522522522522522,"('dynamite', 'roll', 'die')",1,0.002257336343115124
66,"('casual',)",2.0,0.0044943820224719105,"('stress', 'enough')",1.0,0.0022522522522522522,"('indythe', 'dynamite', 'roll')",1,0.002257336343115124
67,"('nice',)",2.0,0.0044943820224719105,"('great', 'ive')",1.0,0.0022522522522522522,"('favorite', 'indythe', 'dynamite')",1,0.002257336343115124
68,"('small',)",2.0,0.0044943820224719105,"('everything', 'else')",1.0,0.0022522522522522522,"('new', 'favorite', 'indythe')",1,0.002257336343115124
69,"('different',)",1.0,0.0022471910112359553,"('california', 'everything')",1.0,0.0022522522522522522,"('prices', 'new', 'favorite')",1,0.002257336343115124
70,"('experience',)",1.0,0.0022471910112359553,"('better', 'california')",1.0,0.0022522522522522522,"('reasonable', 'prices', 'new')",1,0.002257336343115124
71,"('always',)",1.0,0.0022471910112359553,"('ive', 'better')",1.0,0.0022522522522522522,"('great', 'spot', 'reasonable')",1,0.002257336343115124
72,"('needs',)",1.0,0.0022471910112359553,"('bar', 'ive')",1.0,0.0022522522522522522,"('nice', 'always', 'check')",1,0.002257336343115124
73,"('everything',)",1.0,0.0022471910112359553,"('fav', 'bar')",1.0,0.0022522522522522522,"('roll', 'great', 'spot')",1,0.002257336343115124
74,"('dive',)",1.0,0.0022471910112359553,"('new', 'fav')",1.0,0.0022522522522522522,"('tiger', 'roll', 'great')",1,0.002257336343115124
75,"('indythe',)",1.0,0.0022471910112359553,"('die', 'new')",1.0,0.0022522522522522522,"('love', 'tiger', 'roll')",1,0.002257336343115124
76,"('location',)",1.0,0.0022471910112359553,"('roll', 'die')",1.0,0.0022522522522522522,"('awesome', 'love', 'tiger')",1,0.002257336343115124
77,"('relatively',)",1.0,0.0022471910112359553,"('dynamite', 'roll')",1.0,0.0022522522522522522,"('brip', 'awesome', 'love')",1,0.002257336343115124
78,"('inexpensive',)",1.0,0.0022471910112359553,"('indythe', 'dynamite')",1.0,0.0022522522522522522,"('fave', 'brip', 'awesome')",1,0.002257336343115124
79,"('way',)",1.0,0.0022471910112359553,"('favorite', 'indythe')",1.0,0.0022522522522522522,"('ripple', 'fave', 'brip')",1,0.002257336343115124
80,"('start',)",1.0,0.0022471910112359553,"('new', 'favorite')",1.0,0.0022522522522522522,"('broad', 'ripple', 'fave')",1,0.002257336343115124
81,"('night',)",1.0,0.0022471910112359553,"('prices', 'new')",1.0,0.0022522522522522522,"('night', 'broad', 'ripple')",1,0.002257336343115124
82,"('fave',)",1.0,0.0022471910112359553,"('reasonable', 'prices')",1.0,0.0022522522522522522,"('start', 'night', 'broad')",1,0.002257336343115124
83,"('brip',)",1.0,0.0022471910112359553,"('spot', 'reasonable')",1.0,0.0022522522522522522,"('way', 'start', 'night')",1,0.002257336343115124
84,"('die',)",1.0,0.0022471910112359553,"('great', 'spot')",1.0,0.0022522522522522522,"('ive', 'better', 'california')",1,0.002257336343115124
85,"('havent',)",1.0,0.0022471910112359553,"('roll', 'great')",1.0,0.0022522522522522522,"('better', 'california', 'everything')",1,0.002257336343115124
86,"('fav',)",1.0,0.0022471910112359553,"('love', 'tiger')",1.0,0.0022522522522522522,"('california', 'everything', 'else')",1,0.002257336343115124
87,"('bar',)",1.0,0.0022471910112359553,"('awesome', 'love')",1.0,0.0022522522522522522,"('everything', 'else', 'great')",1,0.002257336343115124
88,"('california',)",1.0,0.0022471910112359553,"('brip', 'awesome')",1.0,0.0022522522522522522,"('staff', 'nice', 'always')",1,0.002257336343115124
89,"('else',)",1.0,0.0022471910112359553,"('else', 'great')",1.0,0.0022522522522522522,"('service', 'staff', 'nice')",1,0.002257336343115124
90,"('34',)",1.0,0.0022471910112359553,"('ive', '34')",1.0,0.0022522522522522522,"('love', 'service', 'staff')",1,0.002257336343115124
91,"('times',)",1.0,0.0022471910112359553,"('needs', 'stress')",1.0,0.0022522522522522522,"('experience', 'love', 'service')",1,0.002257336343115124
92,"('need',)",1.0,0.0022471910112359553,"('34', 'times')",1.0,0.0022522522522522522,"('different', 'experience', 'love')",1,0.002257336343115124
93,"('try',)",1.0,0.0022471910112359553,"('check', 'needs')",1.0,0.0022522522522522522,"('recommend', 'different', 'experience')",1,0.002257336343115124
94,"('stress',)",1.0,0.0022471910112359553,"('always', 'check')",1.0,0.0022522522522522522,"('really', 'recommend', 'different')",1,0.002257336343115124
95,"('tuna',)",1.0,0.0022471910112359553,"('nice', 'always')",1.0,0.0022522522522522522,"('best', 'really', 'recommend')",1,0.002257336343115124
96,"('enough',)",1.0,0.0022471910112359553,"('nigiri', 'amazing')",1.0,0.0022522522522522522,"('dive', 'best', 'really')",1,0.002257336343115124
