,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('great',)",5.0,0.07142857142857142,"('10', '10')",3.0,0.043478260869565216,"('10', '10', '10')",2,0.029411764705882353
1,"('10',)",4.0,0.05714285714285714,"('happy', 'hour')",2.0,0.028985507246376812,"('great', 'service', 'yummy')",1,0.014705882352941176
2,"('service',)",3.0,0.04285714285714286,"('great', 'service')",1.0,0.014492753623188406,"('hour', '430', '700p2')",1,0.014705882352941176
3,"('good',)",3.0,0.04285714285714286,"('430', '700p2')",1.0,0.014492753623188406,"('fantastic', 'will', 'going')",1,0.014705882352941176
4,"('happy',)",3.0,0.04285714285714286,"('fantastic', 'will')",1.0,0.014492753623188406,"('absolutely', 'fantastic', 'will')",1,0.014705882352941176
5,"('back',)",2.0,0.02857142857142857,"('absolutely', 'fantastic')",1.0,0.014492753623188406,"('meal', 'absolutely', 'fantastic')",1,0.014705882352941176
6,"('amazing',)",2.0,0.02857142857142857,"('meal', 'absolutely')",1.0,0.014492753623188406,"('drinks', 'meal', 'absolutely')",1,0.014705882352941176
7,"('absolutely',)",2.0,0.02857142857142857,"('drinks', 'meal')",1.0,0.014492753623188406,"('700p2', 'drinks', 'meal')",1,0.014705882352941176
8,"('always',)",2.0,0.02857142857142857,"('700p2', 'drinks')",1.0,0.014492753623188406,"('430', '700p2', 'drinks')",1,0.014705882352941176
9,"('will',)",2.0,0.02857142857142857,"('bar', 'happy')",1.0,0.014492753623188406,"('happy', 'hour', '430')",1,0.014705882352941176
10,"('hour',)",2.0,0.02857142857142857,"('hour', '430')",1.0,0.014492753623188406,"('going', 'back', 'soon')",1,0.014705882352941176
11,"('french',)",1.0,0.014285714285714285,"('going', 'back')",1.0,0.014492753623188406,"('bar', 'happy', 'hour')",1,0.014705882352941176
12,"('drinks',)",1.0,0.014285714285714285,"('top', 'bar')",1.0,0.014492753623188406,"('top', 'bar', 'happy')",1,0.014705882352941176
13,"('reservation',)",1.0,0.014285714285714285,"('high', 'top')",1.0,0.014492753623188406,"('high', 'top', 'bar')",1,0.014705882352941176
