"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
3,1,1,3,0,3,0,0,5,0,-3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,2,1,3,5,"gebiRewfieSdtt17PTW6Zg"
4,7,2,3,9,3,5,7,11,19,14,"gebiRewfieSdtt17PTW6Zg"
0,2,0,2,1,3,1,1,4,1,1,"gebiRewfieSdtt17PTW6Zg"
1,4,1,2,5,3,2,6,4,9,-3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,0,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,1,0,2,4,"gebiRewfieSdtt17PTW6Zg"
0,6,1,0,10,1,4,7,3,13,3,"gebiRewfieSdtt17PTW6Zg"
1,1,0,1,1,2,1,0,1,2,1,"gebiRewfieSdtt17PTW6Zg"
2,1,3,2,1,1,1,1,3,1,-1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,0,1,"gebiRewfieSdtt17PTW6Zg"
1,1,0,2,2,1,0,1,1,3,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,1,1,2,1,2,6,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,1,3,"gebiRewfieSdtt17PTW6Zg"
0,4,0,2,5,0,2,4,2,5,8,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,2,3,0,3,1,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,4,0,3,3,0,6,10,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,3,2,"gebiRewfieSdtt17PTW6Zg"
1,6,1,1,3,1,3,3,1,3,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,2,0,3,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,2,2,0,1,3,1,3,1,"gebiRewfieSdtt17PTW6Zg"
5,3,1,2,6,3,2,6,7,9,2,"gebiRewfieSdtt17PTW6Zg"
1,3,1,1,3,0,1,5,3,10,8,"gebiRewfieSdtt17PTW6Zg"
