"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,1,0,0,3,1,1,2,1,5,3,"gebiRewfieSdtt17PTW6Zg"
0,0,1,0,0,1,0,0,1,1,0,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,0,1,0,1,1,0,-4,"gebiRewfieSdtt17PTW6Zg"
1,4,0,0,2,0,1,2,4,4,-1,"gebiRewfieSdtt17PTW6Zg"
2,9,3,2,12,4,1,6,5,13,-1,"gebiRewfieSdtt17PTW6Zg"
1,4,2,1,4,3,2,4,5,6,2,"gebiRewfieSdtt17PTW6Zg"
3,3,3,3,3,4,1,4,5,8,-1,"gebiRewfieSdtt17PTW6Zg"
3,6,2,2,6,3,3,3,4,11,5,"gebiRewfieSdtt17PTW6Zg"
1,2,0,1,2,1,2,2,1,2,6,"gebiRewfieSdtt17PTW6Zg"
1,3,1,0,2,1,1,3,2,7,5,"gebiRewfieSdtt17PTW6Zg"
7,7,4,4,6,3,3,8,9,11,0,"gebiRewfieSdtt17PTW6Zg"
2,3,2,1,1,2,1,3,2,3,3,"gebiRewfieSdtt17PTW6Zg"
1,4,2,2,4,2,2,4,6,6,-2,"gebiRewfieSdtt17PTW6Zg"
0,4,1,0,5,1,3,6,3,7,0,"gebiRewfieSdtt17PTW6Zg"
2,3,1,1,1,0,0,1,2,1,-1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,1,0,0,1,1,-1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,1,1,1,0,2,1,"gebiRewfieSdtt17PTW6Zg"
1,1,1,0,2,2,1,1,1,5,0,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,1,0,2,1,3,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,1,0,1,0,2,5,"gebiRewfieSdtt17PTW6Zg"
3,4,3,2,5,4,2,8,8,11,2,"gebiRewfieSdtt17PTW6Zg"
4,2,3,1,3,3,1,3,7,5,-7,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,1,1,1,"gebiRewfieSdtt17PTW6Zg"
3,7,1,3,10,2,6,8,2,11,4,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,3,1,0,3,1,5,4,"gebiRewfieSdtt17PTW6Zg"
2,4,1,2,4,5,3,3,6,4,4,"gebiRewfieSdtt17PTW6Zg"
2,0,1,3,1,3,1,4,4,5,-4,"gebiRewfieSdtt17PTW6Zg"
2,3,1,1,2,0,2,3,2,4,1,"gebiRewfieSdtt17PTW6Zg"
0,2,1,1,1,1,0,2,1,1,2,"gebiRewfieSdtt17PTW6Zg"
1,9,1,0,9,0,1,8,7,16,7,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,2,0,1,1,2,4,1,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,1,1,0,1,1,1,-3,"gebiRewfieSdtt17PTW6Zg"
0,1,1,0,1,0,0,1,1,1,-2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,4,0,4,2,7,3,"gebiRewfieSdtt17PTW6Zg"
1,1,2,1,0,1,0,0,2,0,-2,"gebiRewfieSdtt17PTW6Zg"
3,5,2,2,1,2,1,2,5,1,-2,"gebiRewfieSdtt17PTW6Zg"
2,1,1,1,2,3,2,0,3,2,-3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,1,0,0,2,"gebiRewfieSdtt17PTW6Zg"
2,1,0,0,1,1,0,2,1,4,-1,"gebiRewfieSdtt17PTW6Zg"
2,2,1,2,2,3,1,2,3,2,-8,"gebiRewfieSdtt17PTW6Zg"
2,2,4,1,2,3,0,3,8,6,-7,"gebiRewfieSdtt17PTW6Zg"
1,4,2,1,5,1,1,4,3,7,1,"gebiRewfieSdtt17PTW6Zg"
2,6,3,2,4,2,4,4,5,6,1,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,4,2,0,4,2,8,3,"gebiRewfieSdtt17PTW6Zg"
1,1,2,1,2,0,1,3,1,6,-2,"gebiRewfieSdtt17PTW6Zg"
1,2,0,1,2,1,0,1,2,2,3,"gebiRewfieSdtt17PTW6Zg"
2,2,1,2,2,3,1,2,3,2,-8,"gebiRewfieSdtt17PTW6Zg"
4,5,4,2,3,4,1,2,8,6,5,"gebiRewfieSdtt17PTW6Zg"
4,3,4,3,1,3,1,3,6,2,-4,"gebiRewfieSdtt17PTW6Zg"
1,2,0,1,1,0,0,2,1,2,2,"gebiRewfieSdtt17PTW6Zg"
