"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,0,0,0,0,0,0,1,1,1,1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,0,0,1,0,2,0,0,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,3,0,5,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,2,0,0,0,1,0,1,1,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,4,1,1,4,1,4,6,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,0,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,3,0,3,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,4,0,0,4,0,9,9,"gebiRewfieSdtt17PTW6Zg"
2,1,3,2,2,3,2,2,3,3,-1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,0,1,3,0,7,6,"gebiRewfieSdtt17PTW6Zg"
1,5,2,1,4,1,1,3,1,6,8,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,0,0,4,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,0,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,5,1,7,9,"gebiRewfieSdtt17PTW6Zg"
1,6,0,1,5,1,4,5,1,8,4,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,4,0,0,4,0,5,8,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,1,4,"gebiRewfieSdtt17PTW6Zg"
0,4,0,1,7,2,2,4,2,9,8,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,4,0,0,3,0,8,8,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,4,0,2,4,1,5,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,2,0,3,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,1,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,0,1,2,0,5,5,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,3,1,1,2,1,3,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,3,1,0,3,1,4,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,1,1,1,2,1,3,"gebiRewfieSdtt17PTW6Zg"
0,4,2,1,6,0,2,6,3,7,7,"gebiRewfieSdtt17PTW6Zg"
2,5,2,4,5,2,2,5,5,10,3,"gebiRewfieSdtt17PTW6Zg"
1,6,1,2,6,0,3,6,3,11,9,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,4,0,1,3,1,5,6,"gebiRewfieSdtt17PTW6Zg"
1,1,2,1,2,1,1,2,2,3,-3,"gebiRewfieSdtt17PTW6Zg"
1,3,1,1,6,3,1,5,3,7,9,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,2,0,2,1,0,3,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,0,2,0,4,4,"gebiRewfieSdtt17PTW6Zg"
1,1,1,0,3,1,0,2,1,4,3,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,2,1,0,2,1,2,2,"gebiRewfieSdtt17PTW6Zg"
1,3,0,1,2,0,1,2,0,2,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,3,0,0,2,0,4,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,0,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,1,0,1,3,"gebiRewfieSdtt17PTW6Zg"
1,1,1,0,1,1,0,1,1,1,0,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,0,1,2,"gebiRewfieSdtt17PTW6Zg"
1,1,1,0,0,2,1,0,3,1,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,0,1,1,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,0,2,0,4,3,"gebiRewfieSdtt17PTW6Zg"
5,3,3,2,2,1,1,2,5,3,1,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,1,0,1,1,1,3,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,2,0,5,3,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,2,0,1,1,1,3,0,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,0,0,1,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,1,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,1,5,"gebiRewfieSdtt17PTW6Zg"
1,5,0,0,2,0,2,2,0,4,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,2,1,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,2,1,1,2,2,2,1,"gebiRewfieSdtt17PTW6Zg"
2,5,0,2,3,1,3,2,2,4,7,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,4,0,1,3,2,5,5,"gebiRewfieSdtt17PTW6Zg"
0,1,1,0,1,0,1,1,1,2,4,"gebiRewfieSdtt17PTW6Zg"
