"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,2,1,0,3,0,1,5,0,8,3,"gebiRewfieSdtt17PTW6Zg"
1,5,1,1,3,1,2,3,3,4,3,"gebiRewfieSdtt17PTW6Zg"
0,2,1,1,2,0,1,3,2,4,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,3,2,1,4,1,9,11,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,6,0,1,7,1,7,5,"gebiRewfieSdtt17PTW6Zg"
0,4,1,0,7,0,1,6,1,11,10,"gebiRewfieSdtt17PTW6Zg"
0,5,0,1,5,0,2,6,1,8,8,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,2,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,3,0,3,5,"gebiRewfieSdtt17PTW6Zg"
1,5,1,1,5,2,2,6,2,6,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,0,0,0,0,1,1,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,3,0,3,6,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,1,0,0,1,2,3,0,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,1,0,0,0,0,1,2,"gebiRewfieSdtt17PTW6Zg"
0,5,0,1,4,0,1,3,0,6,5,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,5,0,1,4,0,6,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,2,0,2,4,"gebiRewfieSdtt17PTW6Zg"
1,3,1,0,2,2,0,3,1,6,5,"gebiRewfieSdtt17PTW6Zg"
0,2,1,0,3,1,3,6,3,5,0,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,0,0,0,1,0,4,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,3,0,3,3,"gebiRewfieSdtt17PTW6Zg"
0,1,1,0,1,0,0,0,1,1,3,"gebiRewfieSdtt17PTW6Zg"
0,5,1,0,6,0,3,6,0,7,7,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,2,0,3,5,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,0,2,1,4,4,"gebiRewfieSdtt17PTW6Zg"
