"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,2,0,0,1,0,0,0,2,2,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,0,1,4,1,4,6,"gebiRewfieSdtt17PTW6Zg"
1,3,0,0,1,1,0,2,3,2,2,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,3,0,0,3,1,3,4,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,3,0,1,3,1,3,6,"gebiRewfieSdtt17PTW6Zg"
1,2,0,1,2,1,0,1,3,4,6,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,1,1,1,2,5,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,1,1,2,3,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,4,0,1,5,1,8,8,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,4,1,0,2,1,4,2,"gebiRewfieSdtt17PTW6Zg"
1,3,1,1,2,1,0,1,2,4,3,"gebiRewfieSdtt17PTW6Zg"
1,1,1,0,0,0,0,0,2,0,0,"gebiRewfieSdtt17PTW6Zg"
1,3,1,1,0,0,1,2,2,5,2,"gebiRewfieSdtt17PTW6Zg"
1,1,0,1,3,0,1,3,1,3,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,2,2,0,2,2,"gebiRewfieSdtt17PTW6Zg"
1,3,1,0,3,1,0,3,2,3,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,0,3,0,4,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,2,2,3,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,0,0,0,0,1,1,2,"gebiRewfieSdtt17PTW6Zg"
1,3,1,1,4,1,0,3,3,7,7,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,2,0,4,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,0,2,0,3,8,"gebiRewfieSdtt17PTW6Zg"
1,4,1,0,4,2,0,4,4,10,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,1,0,2,4,"gebiRewfieSdtt17PTW6Zg"
1,4,0,0,3,0,2,2,1,6,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,1,4,"gebiRewfieSdtt17PTW6Zg"
1,3,1,1,9,1,1,7,3,12,10,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,1,0,0,2,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,0,0,2,4,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,2,0,0,3,1,3,4,"gebiRewfieSdtt17PTW6Zg"
1,3,2,1,5,2,2,5,6,8,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,0,0,3,0,5,9,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,1,0,2,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,0,2,0,2,3,"gebiRewfieSdtt17PTW6Zg"
1,4,0,2,5,4,1,3,5,12,8,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,1,1,0,1,2,1,1,"gebiRewfieSdtt17PTW6Zg"
2,1,2,1,4,2,1,5,3,11,5,"gebiRewfieSdtt17PTW6Zg"
2,4,3,0,6,1,2,5,4,9,8,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,2,1,2,3,"gebiRewfieSdtt17PTW6Zg"
0,5,0,0,3,0,1,2,3,4,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,1,0,0,2,1,3,4,"gebiRewfieSdtt17PTW6Zg"
1,1,1,2,1,2,0,0,2,2,3,"gebiRewfieSdtt17PTW6Zg"
1,4,2,2,4,1,1,4,7,11,-2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,0,1,0,0,2,0,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,0,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,3,0,0,3,0,7,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,5,0,1,5,0,8,8,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,1,0,3,7,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,1,1,2,4,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,1,0,0,1,1,6,3,"gebiRewfieSdtt17PTW6Zg"
1,3,0,1,3,2,2,3,5,6,5,"gebiRewfieSdtt17PTW6Zg"
