"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,3,0,0,1,0,1,0,0,1,-1,"gebiRewfieSdtt17PTW6Zg"
0,5,2,0,6,1,2,4,1,9,9,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,2,0,0,1,2,2,-2,"gebiRewfieSdtt17PTW6Zg"
1,5,0,1,7,2,4,6,3,14,4,"gebiRewfieSdtt17PTW6Zg"
1,4,1,0,3,1,1,4,2,5,5,"gebiRewfieSdtt17PTW6Zg"
0,1,1,0,2,0,1,2,1,6,7,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,2,2,"gebiRewfieSdtt17PTW6Zg"
0,1,1,0,3,0,0,5,2,6,2,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,3,1,1,5,1,7,8,"gebiRewfieSdtt17PTW6Zg"
1,4,2,0,6,2,1,5,1,7,7,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,3,0,1,1,0,3,4,"gebiRewfieSdtt17PTW6Zg"
0,0,1,1,2,1,0,2,1,3,5,"gebiRewfieSdtt17PTW6Zg"
0,2,1,0,2,1,2,3,1,4,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,1,0,1,2,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,5,0,1,5,1,7,8,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,0,0,0,1,0,4,4,"gebiRewfieSdtt17PTW6Zg"
2,2,1,1,5,2,2,4,5,13,6,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,1,0,2,4,"gebiRewfieSdtt17PTW6Zg"
0,5,0,0,6,0,4,4,0,7,6,"gebiRewfieSdtt17PTW6Zg"
1,1,0,1,5,3,0,3,4,8,8,"gebiRewfieSdtt17PTW6Zg"
2,3,2,1,4,2,3,3,2,8,7,"gebiRewfieSdtt17PTW6Zg"
1,4,0,1,4,1,1,6,3,9,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,5,0,0,2,1,8,6,"gebiRewfieSdtt17PTW6Zg"
1,2,2,2,2,2,2,2,4,5,0,"gebiRewfieSdtt17PTW6Zg"
1,6,1,1,7,1,3,5,2,10,7,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,4,0,1,5,2,8,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,2,2,0,2,2,"gebiRewfieSdtt17PTW6Zg"
1,2,1,2,2,6,0,3,8,8,-1,"gebiRewfieSdtt17PTW6Zg"
2,6,0,0,8,2,2,8,4,16,17,"gebiRewfieSdtt17PTW6Zg"
1,3,1,0,5,2,1,6,1,11,12,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,1,0,2,2,"gebiRewfieSdtt17PTW6Zg"
1,4,0,1,7,0,3,5,1,10,12,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,4,0,1,3,0,4,3,"gebiRewfieSdtt17PTW6Zg"
1,5,1,2,7,3,5,6,4,8,11,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,1,0,1,1,0,1,6,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,2,3,0,4,5,"gebiRewfieSdtt17PTW6Zg"
4,3,4,4,3,5,0,8,8,12,9,"gebiRewfieSdtt17PTW6Zg"
3,3,3,2,5,2,1,6,3,9,0,"gebiRewfieSdtt17PTW6Zg"
