"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,2,0,0,1,0,1,1,1,2,3,"gebiRewfieSdtt17PTW6Zg"
1,3,1,1,2,1,2,3,4,7,6,"gebiRewfieSdtt17PTW6Zg"
1,0,1,0,0,1,0,0,1,1,-2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,0,3,6,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,5,0,2,7,1,11,7,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,1,-2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,1,1,3,4,"gebiRewfieSdtt17PTW6Zg"
4,4,2,2,4,1,1,7,7,10,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,2,0,1,3,0,3,-1,"gebiRewfieSdtt17PTW6Zg"
1,4,1,1,9,1,2,8,3,14,7,"gebiRewfieSdtt17PTW6Zg"
