"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,1,0,0,3,0,1,3,0,3,3,"gebiRewfieSdtt17PTW6Zg"
1,3,0,0,2,1,0,2,2,5,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,1,0,3,0,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,1,4,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,5,1,3,7,1,8,8,"gebiRewfieSdtt17PTW6Zg"
1,5,0,0,5,0,1,7,1,12,12,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,1,0,3,2,"gebiRewfieSdtt17PTW6Zg"
3,1,1,1,5,1,0,4,3,11,8,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,1,1,4,0,5,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,0,3,0,5,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,3,0,0,3,0,4,5,"gebiRewfieSdtt17PTW6Zg"
1,1,1,0,2,0,0,2,2,3,-1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,0,1,3,0,4,6,"gebiRewfieSdtt17PTW6Zg"
3,2,2,1,4,2,1,4,4,8,6,"gebiRewfieSdtt17PTW6Zg"
1,0,1,0,0,0,0,0,1,0,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,2,5,"gebiRewfieSdtt17PTW6Zg"
0,3,1,1,5,0,1,5,1,7,2,"gebiRewfieSdtt17PTW6Zg"
1,2,1,0,4,0,1,4,1,6,5,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,2,0,0,2,1,4,6,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,1,0,2,4,"gebiRewfieSdtt17PTW6Zg"
0,1,1,0,3,0,1,5,3,6,-1,"gebiRewfieSdtt17PTW6Zg"
0,1,1,1,1,3,1,2,4,2,-2,"gebiRewfieSdtt17PTW6Zg"
0,4,1,0,4,0,2,6,1,9,12,"gebiRewfieSdtt17PTW6Zg"
0,3,1,0,3,1,2,3,1,5,-1,"gebiRewfieSdtt17PTW6Zg"
1,0,2,2,0,1,0,0,2,1,-2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,2,0,2,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,1,2,"gebiRewfieSdtt17PTW6Zg"
1,1,2,2,3,3,0,2,5,5,1,"gebiRewfieSdtt17PTW6Zg"
0,0,1,2,1,2,1,1,2,1,-1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,4,0,0,5,0,7,4,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,3,1,1,4,1,6,1,"gebiRewfieSdtt17PTW6Zg"
0,6,0,0,7,0,2,5,0,12,10,"gebiRewfieSdtt17PTW6Zg"
2,8,1,2,6,2,4,7,2,15,11,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,3,0,0,3,2,4,6,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,2,0,3,5,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,4,1,1,4,2,10,7,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,2,1,3,4,"gebiRewfieSdtt17PTW6Zg"
0,0,1,0,2,0,0,2,1,3,3,"gebiRewfieSdtt17PTW6Zg"
0,1,1,0,3,0,0,2,1,4,3,"gebiRewfieSdtt17PTW6Zg"
1,1,1,2,2,0,0,2,1,3,-4,"gebiRewfieSdtt17PTW6Zg"
1,8,0,1,5,0,2,7,2,10,5,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,0,1,3,0,8,6,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,0,1,0,0,1,0,-1,"gebiRewfieSdtt17PTW6Zg"
0,3,1,0,6,0,1,5,1,7,6,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,1,3,"gebiRewfieSdtt17PTW6Zg"
