"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,0,0,0,0,0,0,0,0,2,3,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,2,0,0,3,2,6,5,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,3,0,0,3,0,6,6,"gebiRewfieSdtt17PTW6Zg"
1,3,0,0,2,0,1,2,0,6,6,"gebiRewfieSdtt17PTW6Zg"
1,0,0,0,1,0,0,3,1,5,0,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,4,0,4,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,1,0,0,1,0,2,4,"gebiRewfieSdtt17PTW6Zg"
0,5,0,0,9,0,2,8,0,15,9,"gebiRewfieSdtt17PTW6Zg"
3,2,2,4,2,3,2,4,5,3,0,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,4,2,1,2,3,7,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,3,0,1,3,0,5,8,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,3,1,1,2,1,3,3,"gebiRewfieSdtt17PTW6Zg"
1,0,2,1,1,1,0,2,1,2,-2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,1,2,1,"gebiRewfieSdtt17PTW6Zg"
1,1,0,1,3,1,1,5,1,8,6,"gebiRewfieSdtt17PTW6Zg"
2,4,1,0,5,1,2,6,3,6,5,"gebiRewfieSdtt17PTW6Zg"
2,4,1,0,4,1,3,5,6,6,4,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,4,0,1,4,0,4,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,1,0,1,1,0,3,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,2,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,2,4,"gebiRewfieSdtt17PTW6Zg"
1,3,0,1,3,0,2,2,3,2,-2,"gebiRewfieSdtt17PTW6Zg"
