"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,1,0,1,1,2,0,1,2,2,0,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,1,0,1,1,0,1,3,"gebiRewfieSdtt17PTW6Zg"
3,6,3,2,6,3,2,7,7,12,12,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,5,0,1,5,0,7,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,1,0,3,4,"gebiRewfieSdtt17PTW6Zg"
0,7,1,2,8,0,4,7,3,20,9,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,3,0,0,2,0,4,4,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,4,0,2,3,0,5,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,0,0,1,1,"gebiRewfieSdtt17PTW6Zg"
0,10,0,2,6,0,5,8,3,15,10,"gebiRewfieSdtt17PTW6Zg"
0,6,1,2,8,1,3,5,2,13,10,"gebiRewfieSdtt17PTW6Zg"
1,2,0,1,1,0,2,2,2,1,5,"gebiRewfieSdtt17PTW6Zg"
1,4,1,0,3,0,2,3,1,5,5,"gebiRewfieSdtt17PTW6Zg"
0,1,1,0,4,0,1,3,0,4,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,0,1,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,2,1,4,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,0,2,0,4,7,"gebiRewfieSdtt17PTW6Zg"
2,10,5,6,8,4,4,9,7,14,7,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,1,2,2,"gebiRewfieSdtt17PTW6Zg"
1,6,1,1,4,2,3,7,4,14,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,0,0,1,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,4,0,1,4,0,5,7,"gebiRewfieSdtt17PTW6Zg"
1,5,1,0,8,0,2,7,3,12,19,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,1,0,1,1,"gebiRewfieSdtt17PTW6Zg"
