"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
2,4,1,3,4,2,1,4,4,5,-1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,1,0,3,1,4,1,"gebiRewfieSdtt17PTW6Zg"
1,4,0,1,2,2,1,4,2,6,4,"gebiRewfieSdtt17PTW6Zg"
0,0,1,0,1,0,0,0,1,3,3,"gebiRewfieSdtt17PTW6Zg"
0,7,0,0,3,0,1,6,1,9,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,2,0,4,5,"gebiRewfieSdtt17PTW6Zg"
4,5,8,4,7,7,3,7,10,12,-1,"gebiRewfieSdtt17PTW6Zg"
2,4,2,2,7,2,3,11,5,16,1,"gebiRewfieSdtt17PTW6Zg"
3,1,2,2,5,1,2,5,5,8,9,"gebiRewfieSdtt17PTW6Zg"
0,4,2,0,2,0,1,4,3,5,5,"gebiRewfieSdtt17PTW6Zg"
0,1,1,0,1,1,0,2,3,4,-2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,3,3,"gebiRewfieSdtt17PTW6Zg"
0,1,1,0,0,2,0,0,2,1,0,"gebiRewfieSdtt17PTW6Zg"
1,2,1,2,4,2,1,4,2,5,2,"gebiRewfieSdtt17PTW6Zg"
0,4,1,0,2,0,0,2,1,2,2,"gebiRewfieSdtt17PTW6Zg"
1,5,4,2,5,2,2,7,6,9,-2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,1,4,-1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,1,2,"gebiRewfieSdtt17PTW6Zg"
3,1,3,2,2,1,1,2,3,5,-1,"gebiRewfieSdtt17PTW6Zg"
1,0,1,0,1,0,0,3,1,3,3,"gebiRewfieSdtt17PTW6Zg"
1,3,2,2,3,1,2,3,2,5,3,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,2,0,0,3,0,6,14,"gebiRewfieSdtt17PTW6Zg"
1,5,0,1,6,1,2,7,1,9,11,"gebiRewfieSdtt17PTW6Zg"
1,2,3,1,3,1,1,3,2,5,1,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,2,0,1,2,2,4,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,3,0,3,2,"gebiRewfieSdtt17PTW6Zg"
0,4,1,0,1,0,1,2,1,6,3,"gebiRewfieSdtt17PTW6Zg"
1,0,2,0,1,1,0,0,6,3,-5,"gebiRewfieSdtt17PTW6Zg"
0,5,1,1,6,1,3,5,5,10,1,"gebiRewfieSdtt17PTW6Zg"
0,0,1,0,0,0,0,0,1,2,4,"gebiRewfieSdtt17PTW6Zg"
0,6,2,0,3,0,3,3,3,6,10,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,1,0,3,5,"gebiRewfieSdtt17PTW6Zg"
1,3,1,1,2,1,2,3,5,7,-1,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,2,0,0,3,1,3,8,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,0,0,2,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,1,0,-1,"gebiRewfieSdtt17PTW6Zg"
0,2,2,1,3,0,1,4,1,9,5,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,2,1,0,1,2,2,4,"gebiRewfieSdtt17PTW6Zg"
2,3,2,2,3,2,4,2,3,3,2,"gebiRewfieSdtt17PTW6Zg"
0,3,1,0,2,0,2,3,1,3,0,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,8,0,2,6,1,16,14,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,4,0,2,1,0,5,7,"gebiRewfieSdtt17PTW6Zg"
1,5,1,2,3,3,2,4,5,9,0,"gebiRewfieSdtt17PTW6Zg"
1,7,1,2,5,3,2,10,4,17,9,"gebiRewfieSdtt17PTW6Zg"
1,4,2,0,2,2,3,2,4,5,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,2,3,"gebiRewfieSdtt17PTW6Zg"
2,1,0,0,1,0,0,2,2,4,2,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,2,1,0,3,2,3,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,2,1,4,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,1,2,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,1,1,-1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,0,0,"gebiRewfieSdtt17PTW6Zg"
1,2,2,1,4,1,2,3,2,5,1,"gebiRewfieSdtt17PTW6Zg"
0,5,1,1,6,1,3,5,5,7,-1,"gebiRewfieSdtt17PTW6Zg"
0,1,1,0,1,1,0,1,1,1,0,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,1,0,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,1,0,0,3,3,"gebiRewfieSdtt17PTW6Zg"
2,4,1,4,2,3,2,1,6,4,1,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,3,0,1,3,0,4,4,"gebiRewfieSdtt17PTW6Zg"
2,8,3,2,5,3,2,7,6,12,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,0,2,"gebiRewfieSdtt17PTW6Zg"
0,4,1,1,4,1,2,1,1,4,4,"gebiRewfieSdtt17PTW6Zg"
4,6,3,2,8,2,2,7,6,12,1,"gebiRewfieSdtt17PTW6Zg"
1,1,0,1,1,1,0,0,1,1,0,"gebiRewfieSdtt17PTW6Zg"
1,12,2,2,7,2,4,12,6,15,7,"gebiRewfieSdtt17PTW6Zg"
0,1,1,0,4,0,0,4,1,4,5,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,1,1,0,1,1,2,2,"gebiRewfieSdtt17PTW6Zg"
1,7,0,1,6,1,1,7,3,8,2,"gebiRewfieSdtt17PTW6Zg"
0,0,1,0,1,0,0,1,1,2,2,"gebiRewfieSdtt17PTW6Zg"
0,0,1,0,1,1,1,2,4,3,3,"gebiRewfieSdtt17PTW6Zg"
0,2,1,1,3,1,0,4,4,5,-1,"gebiRewfieSdtt17PTW6Zg"
0,5,0,1,4,1,3,4,3,8,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,3,0,3,3,"gebiRewfieSdtt17PTW6Zg"
