"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,1,1,0,3,1,0,2,0,3,3,"gebiRewfieSdtt17PTW6Zg"
0,1,1,1,3,0,1,3,1,5,-3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,4,0,0,6,2,12,11,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,0,0,0,1,0,1,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,0,4,0,4,6,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,1,0,1,0,1,4,7,"gebiRewfieSdtt17PTW6Zg"
3,4,3,1,4,2,2,5,4,8,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,1,0,1,1,"gebiRewfieSdtt17PTW6Zg"
2,5,2,1,3,1,2,3,3,5,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,1,2,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,3,1,2,4,0,4,5,"gebiRewfieSdtt17PTW6Zg"
0,1,1,1,1,0,0,2,3,4,2,"gebiRewfieSdtt17PTW6Zg"
1,1,3,1,2,1,1,3,5,5,1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,1,4,"gebiRewfieSdtt17PTW6Zg"
1,0,1,1,2,1,0,3,1,4,5,"gebiRewfieSdtt17PTW6Zg"
1,1,0,2,2,1,1,3,1,4,4,"gebiRewfieSdtt17PTW6Zg"
2,4,2,1,6,1,2,4,2,12,1,"gebiRewfieSdtt17PTW6Zg"
1,3,1,0,5,1,1,4,3,9,6,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,0,1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,0,2,0,6,9,"gebiRewfieSdtt17PTW6Zg"
1,0,1,1,1,1,1,2,2,5,4,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,5,0,1,5,0,6,7,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,3,0,2,4,1,8,10,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,4,0,1,4,0,7,8,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,1,2,0,3,2,3,4,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,2,0,1,3,0,3,6,"gebiRewfieSdtt17PTW6Zg"
4,6,2,5,7,3,3,10,5,15,21,"gebiRewfieSdtt17PTW6Zg"
1,4,1,1,6,1,2,4,1,6,6,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,3,1,1,3,3,8,8,"gebiRewfieSdtt17PTW6Zg"
1,1,2,1,2,1,0,2,3,2,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,2,0,2,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,4,0,0,1,1,4,5,"gebiRewfieSdtt17PTW6Zg"
2,9,2,2,8,0,6,7,1,12,8,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,1,0,3,1,3,3,"gebiRewfieSdtt17PTW6Zg"
0,2,1,1,3,0,2,3,1,3,-1,"gebiRewfieSdtt17PTW6Zg"
1,3,1,1,2,1,0,1,1,2,0,"gebiRewfieSdtt17PTW6Zg"
2,13,3,4,10,3,4,11,8,20,3,"gebiRewfieSdtt17PTW6Zg"
