"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,0,0,0,2,0,0,2,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,2,1,"gebiRewfieSdtt17PTW6Zg"
2,3,1,2,7,1,4,5,6,7,7,"gebiRewfieSdtt17PTW6Zg"
2,1,1,1,1,2,0,1,2,2,-1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,4,0,0,3,0,4,4,"gebiRewfieSdtt17PTW6Zg"
1,1,0,1,3,0,0,3,3,5,1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,6,0,1,4,0,8,8,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,6,0,1,4,3,11,7,"gebiRewfieSdtt17PTW6Zg"
1,6,0,2,3,0,3,4,2,7,8,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,0,3,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,0,1,0,5,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,3,1,0,4,1,4,2,"gebiRewfieSdtt17PTW6Zg"
1,4,3,1,2,1,2,2,2,3,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,2,0,3,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,2,0,4,5,"gebiRewfieSdtt17PTW6Zg"
0,0,1,0,1,0,0,1,1,2,-2,"gebiRewfieSdtt17PTW6Zg"
1,2,1,0,2,0,0,4,1,4,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,0,1,0,3,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,1,0,2,3,"gebiRewfieSdtt17PTW6Zg"
1,4,1,0,4,0,2,3,3,4,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,3,0,3,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,1,0,2,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,1,0,3,0,"gebiRewfieSdtt17PTW6Zg"
