"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
3,3,2,2,2,2,1,3,5,4,2,"gebiRewfieSdtt17PTW6Zg"
2,6,0,0,7,0,3,7,1,9,9,"gebiRewfieSdtt17PTW6Zg"
4,5,6,6,5,4,4,7,13,11,-9,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,2,1,1,2,1,2,1,"gebiRewfieSdtt17PTW6Zg"
1,3,0,0,4,0,0,7,2,11,9,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,5,1,1,6,2,10,11,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,4,1,0,5,0,6,7,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,2,1,2,2,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,3,1,1,3,2,3,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,0,0,3,0,5,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,1,0,2,2,"gebiRewfieSdtt17PTW6Zg"
2,3,1,0,3,2,3,3,3,9,6,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,2,0,2,0,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,5,0,1,5,1,7,6,"gebiRewfieSdtt17PTW6Zg"
1,4,0,0,5,1,1,6,3,9,6,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,3,1,1,3,2,4,1,"gebiRewfieSdtt17PTW6Zg"
3,1,3,3,1,3,1,1,4,1,-2,"gebiRewfieSdtt17PTW6Zg"
1,3,0,1,3,1,1,3,5,9,2,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,2,0,0,1,0,3,5,"gebiRewfieSdtt17PTW6Zg"
2,4,0,2,4,0,2,4,2,4,0,"gebiRewfieSdtt17PTW6Zg"
5,3,5,6,3,5,2,4,10,5,-6,"gebiRewfieSdtt17PTW6Zg"
2,6,0,1,7,2,3,6,5,7,12,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,1,2,0,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,3,2,"gebiRewfieSdtt17PTW6Zg"
