"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,2,0,0,5,1,2,3,1,5,7,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,0,0,1,0,0,1,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,4,1,1,2,0,5,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,0,1,3,1,6,6,"gebiRewfieSdtt17PTW6Zg"
3,6,1,1,10,3,3,10,8,13,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,0,3,1,4,3,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,4,0,1,4,0,5,5,"gebiRewfieSdtt17PTW6Zg"
1,1,2,1,2,1,1,1,2,3,-2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,6,1,2,4,2,8,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,0,1,4,0,8,6,"gebiRewfieSdtt17PTW6Zg"
0,4,0,1,6,2,3,5,2,13,6,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,1,0,3,4,"gebiRewfieSdtt17PTW6Zg"
2,4,1,1,3,1,1,3,4,5,0,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,3,1,1,2,3,4,2,"gebiRewfieSdtt17PTW6Zg"
2,7,1,3,6,2,1,3,3,10,1,"gebiRewfieSdtt17PTW6Zg"
2,2,1,2,4,3,0,4,5,5,3,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,2,0,1,2,0,4,2,"gebiRewfieSdtt17PTW6Zg"
1,2,1,2,4,1,1,4,1,5,4,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,1,1,0,1,1,1,-2,"gebiRewfieSdtt17PTW6Zg"
2,3,1,1,5,2,2,9,2,10,1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,0,3,1,4,6,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,3,0,5,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,1,0,"gebiRewfieSdtt17PTW6Zg"
1,1,0,1,5,2,1,2,2,5,1,"gebiRewfieSdtt17PTW6Zg"
2,5,2,1,3,2,2,2,4,7,6,"gebiRewfieSdtt17PTW6Zg"
2,5,1,2,5,1,2,4,4,7,3,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,5,1,1,5,1,7,8,"gebiRewfieSdtt17PTW6Zg"
4,5,2,3,7,3,2,6,5,10,2,"gebiRewfieSdtt17PTW6Zg"
1,3,0,0,4,1,1,3,1,8,3,"gebiRewfieSdtt17PTW6Zg"
2,3,0,0,2,0,1,2,2,3,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,1,3,1,1,6,4,7,"gebiRewfieSdtt17PTW6Zg"
4,2,5,3,4,3,3,4,6,8,7,"gebiRewfieSdtt17PTW6Zg"
2,1,0,0,4,0,1,1,1,7,5,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,2,1,1,2,1,4,3,"gebiRewfieSdtt17PTW6Zg"
1,5,1,1,7,1,2,5,5,10,8,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,4,1,1,3,1,5,4,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,4,0,2,3,1,6,1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,1,1,1,4,1,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,4,0,3,5,1,6,5,"gebiRewfieSdtt17PTW6Zg"
4,4,7,2,6,4,3,7,8,14,6,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,4,1,1,2,0,4,5,"gebiRewfieSdtt17PTW6Zg"
1,7,1,1,6,2,5,3,4,9,-1,"gebiRewfieSdtt17PTW6Zg"
3,3,2,3,4,2,1,4,5,7,1,"gebiRewfieSdtt17PTW6Zg"
1,9,1,4,7,2,5,6,5,12,8,"gebiRewfieSdtt17PTW6Zg"
2,6,1,2,4,2,2,3,3,5,4,"gebiRewfieSdtt17PTW6Zg"
1,2,1,0,6,1,1,7,2,8,1,"gebiRewfieSdtt17PTW6Zg"
2,2,2,1,3,2,1,2,3,5,2,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,3,1,2,2,2,6,0,"gebiRewfieSdtt17PTW6Zg"
1,0,1,0,3,1,0,2,2,6,4,"gebiRewfieSdtt17PTW6Zg"
2,0,1,2,0,0,0,0,2,0,-3,"gebiRewfieSdtt17PTW6Zg"
2,2,3,0,3,1,2,4,5,4,-1,"gebiRewfieSdtt17PTW6Zg"
1,0,0,0,2,1,0,1,1,4,0,"gebiRewfieSdtt17PTW6Zg"
2,2,2,2,4,3,0,5,4,8,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,4,1,0,3,0,11,5,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,3,0,1,2,1,10,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,1,0,1,0,4,2,"gebiRewfieSdtt17PTW6Zg"
1,5,1,1,9,2,3,7,2,12,8,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,2,0,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,4,0,1,2,0,4,2,"gebiRewfieSdtt17PTW6Zg"
3,3,2,2,4,2,2,4,3,5,0,"gebiRewfieSdtt17PTW6Zg"
1,3,0,0,3,0,1,2,1,4,7,"gebiRewfieSdtt17PTW6Zg"
1,3,1,1,4,1,3,4,2,6,2,"gebiRewfieSdtt17PTW6Zg"
1,2,2,2,1,2,2,2,3,2,-3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,3,1,1,2,0,4,3,"gebiRewfieSdtt17PTW6Zg"
6,7,5,7,15,7,5,14,18,21,-1,"gebiRewfieSdtt17PTW6Zg"
1,3,0,1,4,1,3,1,1,4,5,"gebiRewfieSdtt17PTW6Zg"
1,0,0,1,2,1,0,1,1,2,2,"gebiRewfieSdtt17PTW6Zg"
1,4,2,1,4,0,2,4,2,6,-1,"gebiRewfieSdtt17PTW6Zg"
2,3,2,2,2,2,0,1,5,2,-2,"gebiRewfieSdtt17PTW6Zg"
1,0,0,1,6,1,1,4,2,7,4,"gebiRewfieSdtt17PTW6Zg"
1,2,1,0,3,2,0,3,2,5,1,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,3,1,1,2,2,7,2,"gebiRewfieSdtt17PTW6Zg"
5,9,7,6,6,6,3,14,14,24,12,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,4,0,0,2,0,4,5,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,2,1,1,2,1,2,-1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,1,1,6,2,"gebiRewfieSdtt17PTW6Zg"
1,1,1,3,1,2,0,1,3,2,-2,"gebiRewfieSdtt17PTW6Zg"
0,2,1,0,3,1,1,4,2,5,2,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,6,0,1,4,1,8,4,"gebiRewfieSdtt17PTW6Zg"
1,5,0,0,3,1,2,3,2,8,8,"gebiRewfieSdtt17PTW6Zg"
0,5,1,2,3,1,3,2,3,6,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,1,0,2,3,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,6,0,0,5,1,9,9,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,4,1,1,2,1,5,7,"gebiRewfieSdtt17PTW6Zg"
2,2,2,1,3,2,1,3,5,7,0,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,0,2,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,5,1,1,5,1,9,9,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,2,0,0,0,0,2,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,4,1,0,3,2,6,3,"gebiRewfieSdtt17PTW6Zg"
1,0,1,1,0,1,0,0,1,1,-3,"gebiRewfieSdtt17PTW6Zg"
2,3,2,2,6,2,2,6,6,10,1,"gebiRewfieSdtt17PTW6Zg"
1,1,2,1,1,2,1,1,3,1,-2,"gebiRewfieSdtt17PTW6Zg"
1,4,0,1,3,0,2,5,3,5,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,3,0,0,2,1,3,4,"gebiRewfieSdtt17PTW6Zg"
2,7,2,6,15,7,9,13,12,22,6,"gebiRewfieSdtt17PTW6Zg"
3,2,1,1,4,1,1,2,4,7,2,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,4,1,1,4,0,6,2,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,2,0,1,3,2,4,4,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,5,0,2,3,2,8,10,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,1,0,0,1,0,2,1,"gebiRewfieSdtt17PTW6Zg"
1,0,1,1,2,0,0,0,1,3,3,"gebiRewfieSdtt17PTW6Zg"
0,5,0,0,5,0,1,6,0,8,9,"gebiRewfieSdtt17PTW6Zg"
2,2,1,1,6,2,2,4,5,7,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,4,0,1,3,0,5,9,"gebiRewfieSdtt17PTW6Zg"
0,2,1,1,3,2,0,3,2,6,1,"gebiRewfieSdtt17PTW6Zg"
2,4,0,2,6,2,1,3,3,10,5,"gebiRewfieSdtt17PTW6Zg"
4,9,5,4,6,3,2,9,9,10,-5,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,2,0,5,4,"gebiRewfieSdtt17PTW6Zg"
2,3,0,1,6,1,1,3,2,6,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,1,0,3,1,7,4,"gebiRewfieSdtt17PTW6Zg"
4,7,2,4,6,5,2,8,7,12,7,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,2,0,1,3,2,4,-1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,0,1,0,3,2,"gebiRewfieSdtt17PTW6Zg"
2,9,0,2,9,2,7,9,3,20,14,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,4,1,1,1,0,4,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,1,1,"gebiRewfieSdtt17PTW6Zg"
1,2,1,0,3,1,1,3,1,3,5,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,1,2,0,2,3,2,0,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,0,1,2,0,5,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,3,0,4,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,1,0,1,0,0,3,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,4,0,1,2,0,4,0,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,5,0,2,5,1,6,5,"gebiRewfieSdtt17PTW6Zg"
1,1,0,1,0,1,0,1,1,3,0,"gebiRewfieSdtt17PTW6Zg"
2,4,4,2,4,4,1,3,6,8,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,2,2,3,2,"gebiRewfieSdtt17PTW6Zg"
2,1,2,0,1,1,1,1,3,1,-1,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,4,1,2,3,1,7,4,"gebiRewfieSdtt17PTW6Zg"
1,0,1,1,1,1,0,1,1,2,-2,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,3,0,1,3,1,5,0,"gebiRewfieSdtt17PTW6Zg"
1,0,0,0,1,0,0,1,1,1,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,4,0,0,1,0,7,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,1,3,5,"gebiRewfieSdtt17PTW6Zg"
2,1,0,2,1,1,2,2,3,2,-1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,2,4,1,1,2,1,5,4,"gebiRewfieSdtt17PTW6Zg"
1,4,3,1,7,2,2,6,4,11,6,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,3,2,"gebiRewfieSdtt17PTW6Zg"
0,1,1,0,1,1,2,2,2,3,1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,0,1,4,0,5,5,"gebiRewfieSdtt17PTW6Zg"
1,1,2,2,3,2,1,4,3,6,3,"gebiRewfieSdtt17PTW6Zg"
1,3,1,2,1,2,1,3,2,5,3,"gebiRewfieSdtt17PTW6Zg"
1,2,0,1,1,0,0,2,0,2,0,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,0,3,0,3,4,"gebiRewfieSdtt17PTW6Zg"
3,4,2,3,5,3,2,6,8,11,2,"gebiRewfieSdtt17PTW6Zg"
2,2,1,1,4,2,1,5,2,8,9,"gebiRewfieSdtt17PTW6Zg"
1,3,1,1,2,1,1,3,1,3,3,"gebiRewfieSdtt17PTW6Zg"
