"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
1,6,3,0,4,1,3,3,3,5,-2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,1,0,2,2,3,3,"gebiRewfieSdtt17PTW6Zg"
1,4,0,2,6,0,3,5,1,13,11,"gebiRewfieSdtt17PTW6Zg"
1,0,1,0,0,1,0,0,1,1,2,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,4,0,0,3,0,7,9,"gebiRewfieSdtt17PTW6Zg"
1,0,0,1,0,0,2,1,1,2,4,"gebiRewfieSdtt17PTW6Zg"
1,4,0,0,3,0,2,5,3,6,7,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,2,0,5,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,0,0,0,0,0,1,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,0,0,"gebiRewfieSdtt17PTW6Zg"
0,1,1,1,4,1,2,1,0,5,4,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,2,0,0,1,2,4,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,1,0,0,2,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,0,0,1,2,"gebiRewfieSdtt17PTW6Zg"
0,1,1,1,3,1,1,4,0,5,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,0,0,3,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,2,0,3,6,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,1,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,3,3,0,3,6,"gebiRewfieSdtt17PTW6Zg"
0,0,0,2,0,0,0,0,1,0,4,"gebiRewfieSdtt17PTW6Zg"
1,2,4,4,1,3,2,2,5,5,-5,"gebiRewfieSdtt17PTW6Zg"
1,3,0,1,4,0,4,3,1,5,5,"gebiRewfieSdtt17PTW6Zg"
1,0,0,0,2,1,0,1,1,3,3,"gebiRewfieSdtt17PTW6Zg"
