"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,1,0,0,3,0,0,2,0,3,4,"gebiRewfieSdtt17PTW6Zg"
0,1,1,1,2,0,1,2,1,2,2,"gebiRewfieSdtt17PTW6Zg"
1,2,0,1,7,1,2,5,2,7,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,1,0,3,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,0,0,2,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,1,0,1,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,2,3,0,1,3,1,7,6,"gebiRewfieSdtt17PTW6Zg"
0,8,1,0,6,1,2,9,3,14,12,"gebiRewfieSdtt17PTW6Zg"
3,3,2,2,2,4,1,2,4,2,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,4,0,0,3,0,5,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,0,2,0,3,5,"gebiRewfieSdtt17PTW6Zg"
4,6,2,3,8,3,4,7,3,14,10,"gebiRewfieSdtt17PTW6Zg"
0,6,0,1,7,0,4,6,2,10,11,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,4,0,0,2,0,4,6,"gebiRewfieSdtt17PTW6Zg"
1,4,0,1,3,1,1,3,1,4,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,1,2,1,2,2,3,6,"gebiRewfieSdtt17PTW6Zg"
0,6,0,2,6,1,2,6,0,12,10,"gebiRewfieSdtt17PTW6Zg"
0,1,0,2,4,1,1,3,1,4,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,2,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,1,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,0,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,1,1,3,2,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,1,0,0,2,1,2,6,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,2,0,2,1,"gebiRewfieSdtt17PTW6Zg"
1,0,1,1,0,2,0,0,2,0,-1,"gebiRewfieSdtt17PTW6Zg"
1,3,0,1,2,0,1,3,1,5,7,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,1,1,1,"gebiRewfieSdtt17PTW6Zg"
1,3,1,3,3,1,2,4,2,6,4,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,5,0,1,5,0,6,8,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,2,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,1,0,2,3,"gebiRewfieSdtt17PTW6Zg"
1,1,0,1,2,0,1,1,1,4,2,"gebiRewfieSdtt17PTW6Zg"
2,4,2,1,3,2,2,3,4,3,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,2,0,4,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,1,2,4,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,1,1,1,1,0,2,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,1,2,1,"gebiRewfieSdtt17PTW6Zg"
1,2,2,3,2,3,0,3,5,4,2,"gebiRewfieSdtt17PTW6Zg"
4,6,3,3,4,3,2,5,7,11,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,1,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,2,1,4,2,"gebiRewfieSdtt17PTW6Zg"
1,0,0,1,0,0,0,0,1,2,-2,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,3,0,2,3,1,6,7,"gebiRewfieSdtt17PTW6Zg"
1,4,0,0,4,1,1,3,2,5,7,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,3,0,1,4,0,4,8,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,2,0,0,2,0,2,4,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,2,1,0,1,1,5,7,"gebiRewfieSdtt17PTW6Zg"
0,3,0,2,4,0,1,5,1,11,9,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,2,0,0,1,0,3,3,"gebiRewfieSdtt17PTW6Zg"
3,4,1,3,6,3,3,4,6,6,4,"gebiRewfieSdtt17PTW6Zg"
1,4,1,1,7,1,2,6,2,8,9,"gebiRewfieSdtt17PTW6Zg"
0,1,1,2,2,1,0,5,3,3,4,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,4,0,2,4,0,4,8,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,1,0,3,4,"gebiRewfieSdtt17PTW6Zg"
2,1,0,1,4,1,2,1,1,6,7,"gebiRewfieSdtt17PTW6Zg"
1,4,0,1,3,1,0,5,1,5,6,"gebiRewfieSdtt17PTW6Zg"
2,3,2,5,0,3,1,2,6,5,-1,"gebiRewfieSdtt17PTW6Zg"
3,5,4,2,8,3,5,7,6,10,5,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,2,0,0,1,1,3,6,"gebiRewfieSdtt17PTW6Zg"
0,1,1,0,0,1,0,1,2,0,-2,"gebiRewfieSdtt17PTW6Zg"
0,2,1,2,4,0,1,4,1,8,8,"gebiRewfieSdtt17PTW6Zg"
1,3,0,0,3,0,1,3,1,5,8,"gebiRewfieSdtt17PTW6Zg"
0,1,1,0,2,0,0,2,1,5,6,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,3,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,1,0,0,1,0,2,5,"gebiRewfieSdtt17PTW6Zg"
1,3,0,1,4,0,2,3,2,7,10,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,3,0,1,4,1,4,5,"gebiRewfieSdtt17PTW6Zg"
0,6,0,0,5,2,4,5,6,12,9,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,1,0,2,1,1,2,0,"gebiRewfieSdtt17PTW6Zg"
1,3,0,1,6,0,0,6,1,10,12,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,3,1,4,5,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,2,0,1,1,1,2,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,0,2,1,4,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,0,1,4,0,5,5,"gebiRewfieSdtt17PTW6Zg"
1,1,2,0,2,1,0,1,2,2,2,"gebiRewfieSdtt17PTW6Zg"
1,2,1,0,2,1,0,2,3,2,1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,3,0,4,4,"gebiRewfieSdtt17PTW6Zg"
3,5,3,2,10,2,3,11,8,13,8,"gebiRewfieSdtt17PTW6Zg"
0,1,0,2,2,1,1,1,3,2,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,0,1,5,1,5,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,0,0,0,1,0,4,7,"gebiRewfieSdtt17PTW6Zg"
2,4,2,1,7,1,2,4,3,11,9,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,1,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,0,3,0,3,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,0,0,0,0,1,2,1,"gebiRewfieSdtt17PTW6Zg"
0,3,1,0,3,0,1,3,2,9,13,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,0,3,0,5,6,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,4,0,1,3,0,4,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,0,3,"gebiRewfieSdtt17PTW6Zg"
1,0,0,0,2,0,0,1,1,3,1,"gebiRewfieSdtt17PTW6Zg"
