"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,1,0,0,2,0,1,2,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,1,0,3,4,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,3,0,0,3,1,6,7,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,2,0,3,4,"gebiRewfieSdtt17PTW6Zg"
1,0,2,1,2,2,0,1,4,2,2,"gebiRewfieSdtt17PTW6Zg"
1,2,1,0,3,1,2,2,1,3,3,"gebiRewfieSdtt17PTW6Zg"
3,5,3,5,5,3,4,6,7,10,7,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,0,1,"gebiRewfieSdtt17PTW6Zg"
1,1,2,1,1,2,0,0,2,1,2,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,3,1,1,2,1,3,5,"gebiRewfieSdtt17PTW6Zg"
1,3,0,1,2,1,1,1,1,3,8,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,2,0,1,2,0,3,7,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,3,0,2,3,0,3,3,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,3,0,1,5,1,7,6,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,0,2,"gebiRewfieSdtt17PTW6Zg"
1,4,0,0,4,0,1,2,2,9,4,"gebiRewfieSdtt17PTW6Zg"
1,3,4,0,5,0,2,5,4,6,-1,"gebiRewfieSdtt17PTW6Zg"
0,2,1,0,1,0,1,3,0,3,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,0,0,0,1,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,1,1,0,3,0,1,4,0,4,4,"gebiRewfieSdtt17PTW6Zg"
2,6,1,2,5,3,1,8,6,14,7,"gebiRewfieSdtt17PTW6Zg"
3,2,2,3,2,2,1,3,6,5,-6,"gebiRewfieSdtt17PTW6Zg"
1,3,0,0,5,0,1,4,1,5,6,"gebiRewfieSdtt17PTW6Zg"
0,1,0,2,0,0,1,0,2,3,0,"gebiRewfieSdtt17PTW6Zg"
1,3,1,1,3,1,0,2,2,3,3,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,0,0,0,0,3,1,-1,"gebiRewfieSdtt17PTW6Zg"
1,2,1,0,1,1,1,1,2,2,2,"gebiRewfieSdtt17PTW6Zg"
0,7,0,0,7,0,3,6,1,12,8,"gebiRewfieSdtt17PTW6Zg"
1,4,2,2,3,1,2,6,3,11,4,"gebiRewfieSdtt17PTW6Zg"
2,6,0,1,5,1,2,5,4,10,7,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,0,0,2,2,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,5,0,1,5,1,9,7,"gebiRewfieSdtt17PTW6Zg"
3,4,1,3,3,3,2,4,3,8,0,"gebiRewfieSdtt17PTW6Zg"
2,8,2,4,5,0,3,5,4,12,8,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,3,0,5,6,"gebiRewfieSdtt17PTW6Zg"
