"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,2,0,0,3,0,1,3,0,5,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,3,0,2,3,"gebiRewfieSdtt17PTW6Zg"
1,3,1,1,3,0,1,4,1,4,4,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,0,1,0,1,2,3,-3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,1,0,5,4,"gebiRewfieSdtt17PTW6Zg"
1,2,0,1,3,0,1,3,0,3,2,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,1,1,0,1,1,1,1,"gebiRewfieSdtt17PTW6Zg"
0,1,1,0,3,1,1,2,1,4,0,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,1,1,0,1,1,1,1,"gebiRewfieSdtt17PTW6Zg"
1,3,2,1,2,1,2,2,2,6,3,"gebiRewfieSdtt17PTW6Zg"
3,6,0,2,6,2,3,5,5,10,5,"gebiRewfieSdtt17PTW6Zg"
0,1,1,1,1,0,1,2,1,2,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,2,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,2,0,0,3,0,7,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,1,2,"gebiRewfieSdtt17PTW6Zg"
1,3,0,1,1,0,1,1,1,7,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,2,3,1,0,1,1,4,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,0,2,1,4,-1,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,1,0,1,1,1,4,3,"gebiRewfieSdtt17PTW6Zg"
0,4,0,1,3,0,1,4,0,5,7,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,2,1,0,1,2,0,4,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,0,1,0,1,1,3,2,"gebiRewfieSdtt17PTW6Zg"
0,5,0,1,5,1,1,4,3,9,11,"gebiRewfieSdtt17PTW6Zg"
2,2,0,2,3,0,1,2,4,5,-1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,3,0,6,4,"gebiRewfieSdtt17PTW6Zg"
1,8,0,2,8,1,3,8,1,12,12,"gebiRewfieSdtt17PTW6Zg"
3,6,2,3,7,3,1,9,5,10,4,"gebiRewfieSdtt17PTW6Zg"
1,2,0,1,3,0,1,3,0,3,0,"gebiRewfieSdtt17PTW6Zg"
2,2,1,4,0,2,2,2,6,4,-5,"gebiRewfieSdtt17PTW6Zg"
