"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,1,0,0,3,0,1,2,1,3,3,"gebiRewfieSdtt17PTW6Zg"
2,4,2,2,2,2,3,3,5,7,0,"gebiRewfieSdtt17PTW6Zg"
0,2,1,0,2,0,0,3,2,5,-2,"gebiRewfieSdtt17PTW6Zg"
3,3,1,1,6,5,0,4,5,8,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,2,1,1,3,1,7,4,"gebiRewfieSdtt17PTW6Zg"
1,0,1,1,1,1,0,1,2,2,0,"gebiRewfieSdtt17PTW6Zg"
3,7,2,6,8,6,5,7,7,13,4,"gebiRewfieSdtt17PTW6Zg"
1,4,1,0,5,2,2,4,4,5,-3,"gebiRewfieSdtt17PTW6Zg"
3,6,3,2,5,3,3,5,4,7,-2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,1,1,1,2,2,2,1,"gebiRewfieSdtt17PTW6Zg"
3,2,2,4,3,2,1,3,6,3,-3,"gebiRewfieSdtt17PTW6Zg"
3,3,3,5,3,2,1,5,4,4,-3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,1,0,1,1,0,1,0,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,2,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,4,0,0,2,0,4,3,"gebiRewfieSdtt17PTW6Zg"
1,3,0,0,3,1,2,3,2,6,1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,3,0,3,2,"gebiRewfieSdtt17PTW6Zg"
2,1,2,1,1,2,0,1,2,1,0,"gebiRewfieSdtt17PTW6Zg"
4,1,4,5,3,4,0,4,8,3,-6,"gebiRewfieSdtt17PTW6Zg"
1,0,1,1,0,0,0,0,2,2,-3,"gebiRewfieSdtt17PTW6Zg"
0,1,1,1,1,0,0,2,3,3,0,"gebiRewfieSdtt17PTW6Zg"
