"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
1,2,1,1,2,1,1,1,1,2,1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,0,3,"gebiRewfieSdtt17PTW6Zg"
0,5,1,0,6,0,4,6,2,10,8,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,4,0,2,2,0,8,6,"gebiRewfieSdtt17PTW6Zg"
0,3,1,0,3,0,2,3,0,4,5,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,3,0,3,6,0,7,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,1,0,2,1,4,3,"gebiRewfieSdtt17PTW6Zg"
0,6,0,0,5,1,2,5,1,7,5,"gebiRewfieSdtt17PTW6Zg"
1,1,1,0,1,1,1,1,1,1,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,4,0,5,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,1,1,1,0,4,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,2,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,2,1,0,6,0,2,6,0,11,6,"gebiRewfieSdtt17PTW6Zg"
1,0,1,1,2,1,0,2,1,3,5,"gebiRewfieSdtt17PTW6Zg"
0,4,0,1,4,0,2,5,1,9,5,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,3,0,4,5,"gebiRewfieSdtt17PTW6Zg"
0,0,1,0,3,0,0,1,0,4,6,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,3,0,2,3,0,4,4,"gebiRewfieSdtt17PTW6Zg"
1,3,0,0,6,0,4,6,0,11,14,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,2,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,3,0,1,5,1,7,6,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,8,1,3,6,0,11,9,"gebiRewfieSdtt17PTW6Zg"
3,4,1,4,6,1,1,6,4,7,8,"gebiRewfieSdtt17PTW6Zg"
1,1,3,1,2,1,1,4,2,4,2,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,2,0,2,2,1,3,2,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,6,0,0,5,0,9,8,"gebiRewfieSdtt17PTW6Zg"
1,6,1,3,6,1,1,5,3,8,7,"gebiRewfieSdtt17PTW6Zg"
1,5,1,3,6,1,1,5,3,7,6,"gebiRewfieSdtt17PTW6Zg"
0,5,0,0,3,0,0,1,0,4,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,0,1,0,2,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,1,0,1,3,"gebiRewfieSdtt17PTW6Zg"
