"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
1,2,0,0,2,1,1,2,1,4,1,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,4,0,1,3,1,5,7,"gebiRewfieSdtt17PTW6Zg"
1,0,1,1,0,1,0,0,1,0,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,1,0,2,4,"gebiRewfieSdtt17PTW6Zg"
3,3,3,2,1,2,0,3,6,6,3,"gebiRewfieSdtt17PTW6Zg"
0,4,0,1,4,0,0,3,1,6,7,"gebiRewfieSdtt17PTW6Zg"
1,1,1,0,2,0,1,3,2,4,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,3,1,1,2,2,3,4,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,2,0,2,3,0,4,5,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,2,0,1,2,1,2,0,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,0,0,0,0,0,0,1,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,2,0,1,2,1,4,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,1,3,4,"gebiRewfieSdtt17PTW6Zg"
1,4,0,1,3,1,2,3,1,6,1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,0,0,2,6,"gebiRewfieSdtt17PTW6Zg"
1,2,0,1,2,2,1,2,1,3,2,"gebiRewfieSdtt17PTW6Zg"
1,7,2,3,6,1,2,6,4,10,11,"gebiRewfieSdtt17PTW6Zg"
0,1,1,1,2,2,1,2,1,2,2,"gebiRewfieSdtt17PTW6Zg"
1,1,0,1,3,1,0,5,4,9,8,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,0,4,1,6,6,"gebiRewfieSdtt17PTW6Zg"
0,1,0,2,4,1,2,4,1,8,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,0,1,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,2,0,0,3,1,4,4,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,4,0,1,3,0,7,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,1,0,-2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,0,1,0,2,5,"gebiRewfieSdtt17PTW6Zg"
2,0,1,0,2,1,0,1,2,3,2,"gebiRewfieSdtt17PTW6Zg"
2,4,2,4,5,3,3,5,4,7,8,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,2,5,"gebiRewfieSdtt17PTW6Zg"
1,0,0,0,0,0,0,0,0,1,6,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,3,1,1,3,1,5,7,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,2,0,2,2,"gebiRewfieSdtt17PTW6Zg"
2,6,1,1,3,1,1,5,6,7,-2,"gebiRewfieSdtt17PTW6Zg"
2,1,1,1,2,1,0,0,2,6,4,"gebiRewfieSdtt17PTW6Zg"
0,6,2,1,6,1,2,4,5,10,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,2,0,3,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,2,4,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,5,0,3,3,1,6,6,"gebiRewfieSdtt17PTW6Zg"
1,3,1,0,6,0,2,5,0,10,9,"gebiRewfieSdtt17PTW6Zg"
1,2,1,2,3,1,1,1,3,3,3,"gebiRewfieSdtt17PTW6Zg"
0,1,2,0,1,1,0,1,4,1,-4,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,3,1,1,3,1,6,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,0,1,1,2,-3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,3,0,6,5,"gebiRewfieSdtt17PTW6Zg"
0,0,1,0,0,0,0,0,1,1,3,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,4,0,2,3,2,4,1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,0,0,2,0,"gebiRewfieSdtt17PTW6Zg"
1,3,1,1,3,2,2,3,2,3,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,3,0,6,7,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,1,1,1,"gebiRewfieSdtt17PTW6Zg"
1,6,1,2,7,1,3,6,2,9,5,"gebiRewfieSdtt17PTW6Zg"
0,4,0,1,5,0,2,2,1,11,8,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,2,0,5,5,"gebiRewfieSdtt17PTW6Zg"
1,2,1,0,2,0,2,4,1,3,3,"gebiRewfieSdtt17PTW6Zg"
0,8,0,2,7,2,2,6,1,12,11,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,2,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,3,0,4,6,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,1,2,-1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,0,3,1,4,2,"gebiRewfieSdtt17PTW6Zg"
0,2,1,2,0,0,1,3,3,4,3,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,3,0,1,2,1,4,3,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,4,0,0,3,1,5,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,1,4,3,"gebiRewfieSdtt17PTW6Zg"
0,1,1,1,0,0,0,0,1,1,-1,"gebiRewfieSdtt17PTW6Zg"
2,6,1,1,5,1,1,4,2,7,9,"gebiRewfieSdtt17PTW6Zg"
2,0,2,2,1,3,0,0,4,2,-1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,1,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,1,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,2,0,4,4,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,4,1,1,3,3,8,6,"gebiRewfieSdtt17PTW6Zg"
2,2,1,2,1,2,0,1,5,1,-6,"gebiRewfieSdtt17PTW6Zg"
1,0,1,1,1,1,1,1,1,3,3,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,0,0,1,0,2,1,-2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,0,2,2,"gebiRewfieSdtt17PTW6Zg"
2,5,1,0,4,1,2,3,7,9,10,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,2,0,0,2,0,3,3,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,2,1,2,3,1,3,1,"gebiRewfieSdtt17PTW6Zg"
1,2,1,0,2,1,0,2,1,2,4,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,3,1,1,3,1,3,3,"gebiRewfieSdtt17PTW6Zg"
0,3,1,0,3,0,1,4,2,5,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,1,0,0,0,1,6,2,"gebiRewfieSdtt17PTW6Zg"
2,2,1,0,3,0,1,1,1,4,5,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,4,0,1,3,0,7,5,"gebiRewfieSdtt17PTW6Zg"
0,5,0,0,7,1,1,11,1,11,7,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,2,0,2,5,"gebiRewfieSdtt17PTW6Zg"
1,1,1,2,1,2,0,4,3,4,-1,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,8,0,1,6,1,12,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,0,1,"gebiRewfieSdtt17PTW6Zg"
1,1,1,0,2,1,0,2,2,4,-1,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,0,1,0,1,2,2,6,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,1,0,0,0,0,3,"gebiRewfieSdtt17PTW6Zg"
1,6,0,0,4,0,1,4,3,8,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,0,0,2,4,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,2,1,1,2,2,4,-2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,0,2,3,"gebiRewfieSdtt17PTW6Zg"
1,4,2,4,4,2,2,4,4,8,1,"gebiRewfieSdtt17PTW6Zg"
1,3,2,2,3,2,3,4,4,8,3,"gebiRewfieSdtt17PTW6Zg"
3,5,1,2,5,1,3,3,3,6,1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,5,0,1,4,0,5,5,"gebiRewfieSdtt17PTW6Zg"
1,3,0,1,2,1,2,3,0,7,6,"gebiRewfieSdtt17PTW6Zg"
