"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,0,0,0,1,0,0,1,0,2,1,"gebiRewfieSdtt17PTW6Zg"
2,3,2,3,2,2,1,3,7,6,1,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,1,1,0,1,1,1,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,4,0,0,3,1,5,7,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,4,0,1,3,0,5,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,2,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,0,6,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,1,0,0,1,0,0,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,1,0,0,0,0,4,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,1,0,3,7,"gebiRewfieSdtt17PTW6Zg"
2,2,4,4,5,2,2,5,9,8,-3,"gebiRewfieSdtt17PTW6Zg"
0,0,1,1,3,0,1,2,1,3,3,"gebiRewfieSdtt17PTW6Zg"
0,4,0,1,7,0,1,7,0,8,11,"gebiRewfieSdtt17PTW6Zg"
0,0,0,2,1,1,1,1,2,1,3,"gebiRewfieSdtt17PTW6Zg"
2,7,0,3,10,1,5,9,4,18,12,"gebiRewfieSdtt17PTW6Zg"
1,2,1,2,3,1,1,3,2,4,2,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,4,0,1,5,1,7,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,0,2,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,1,1,3,0,9,6,"gebiRewfieSdtt17PTW6Zg"
2,4,1,4,3,5,3,5,7,7,-4,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,3,0,1,2,2,4,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,3,0,0,2,0,4,5,"gebiRewfieSdtt17PTW6Zg"
1,0,1,2,4,2,0,1,2,5,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,0,0,2,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,2,1,0,1,1,1,1,-1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,4,0,2,4,2,11,7,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,0,2,1,4,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,1,0,2,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,1,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,3,0,4,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,0,3,0,5,3,"gebiRewfieSdtt17PTW6Zg"
1,0,1,1,3,2,0,1,2,5,1,"gebiRewfieSdtt17PTW6Zg"
0,5,0,0,8,0,3,8,0,10,2,"gebiRewfieSdtt17PTW6Zg"
1,3,0,0,5,0,1,5,0,8,7,"gebiRewfieSdtt17PTW6Zg"
1,3,0,0,5,0,2,6,1,8,7,"gebiRewfieSdtt17PTW6Zg"
1,2,1,0,2,1,2,2,1,5,8,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,1,0,2,1,3,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,2,1,1,2,0,6,5,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,3,0,1,3,0,4,3,"gebiRewfieSdtt17PTW6Zg"
1,0,0,0,2,0,0,1,0,3,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,0,0,4,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,1,0,3,2,3,2,"gebiRewfieSdtt17PTW6Zg"
8,5,5,7,4,6,2,4,14,10,-2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,2,0,0,3,0,5,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,2,1,"gebiRewfieSdtt17PTW6Zg"
0,0,1,0,2,0,0,2,1,3,-1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,1,0,3,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,2,0,0,1,0,1,0,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,3,0,1,2,0,4,3,"gebiRewfieSdtt17PTW6Zg"
1,3,1,2,5,1,1,5,2,11,10,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,3,0,0,2,0,3,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,1,1,3,2,4,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,3,0,0,3,0,4,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,0,1,0,3,6,"gebiRewfieSdtt17PTW6Zg"
0,0,1,1,3,0,1,2,1,3,3,"gebiRewfieSdtt17PTW6Zg"
1,3,2,1,5,1,2,4,3,5,1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,2,0,4,6,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,0,1,0,0,1,0,1,"gebiRewfieSdtt17PTW6Zg"
0,3,1,2,5,2,0,8,3,10,9,"gebiRewfieSdtt17PTW6Zg"
1,3,1,2,6,1,3,6,2,10,6,"gebiRewfieSdtt17PTW6Zg"
3,7,1,3,6,2,3,9,2,12,12,"gebiRewfieSdtt17PTW6Zg"
0,3,1,0,3,0,1,3,2,3,0,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,4,1,5,4,"gebiRewfieSdtt17PTW6Zg"
1,3,1,0,1,1,0,3,4,5,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,0,0,2,0,"gebiRewfieSdtt17PTW6Zg"
2,1,1,2,2,1,2,2,2,3,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,4,1,1,4,0,5,4,"gebiRewfieSdtt17PTW6Zg"
0,4,0,1,5,0,2,5,3,11,12,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,2,0,3,2,1,3,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,1,0,0,1,0,3,0,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,1,0,0,1,1,1,0,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,2,0,2,2,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,2,1,1,1,1,3,3,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,3,0,1,2,0,3,6,"gebiRewfieSdtt17PTW6Zg"
0,4,1,0,4,0,0,4,4,7,6,"gebiRewfieSdtt17PTW6Zg"
2,3,3,3,2,4,1,2,4,7,-2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,1,2,1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,1,0,3,3,"gebiRewfieSdtt17PTW6Zg"
2,7,1,2,6,2,3,8,6,13,7,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,1,0,3,4,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,2,0,1,4,0,6,6,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,3,0,0,1,1,4,5,"gebiRewfieSdtt17PTW6Zg"
0,0,1,0,1,1,0,1,1,2,0,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,4,1,1,4,0,5,4,"gebiRewfieSdtt17PTW6Zg"
1,3,1,0,2,0,2,4,0,8,6,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,0,1,3,1,5,4,"gebiRewfieSdtt17PTW6Zg"
1,5,1,2,6,2,2,6,5,12,11,"gebiRewfieSdtt17PTW6Zg"
9,11,8,12,10,8,7,14,16,22,4,"gebiRewfieSdtt17PTW6Zg"
0,4,0,1,5,3,2,6,4,9,6,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,3,0,1,3,1,4,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,2,0,"gebiRewfieSdtt17PTW6Zg"
1,2,1,2,2,3,1,3,5,4,0,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,2,0,1,1,0,3,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,4,0,5,7,"gebiRewfieSdtt17PTW6Zg"
0,4,2,1,5,1,3,4,3,8,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,2,0,3,2,"gebiRewfieSdtt17PTW6Zg"
0,2,1,0,2,0,1,2,0,2,0,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,7,0,2,4,0,9,9,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,3,0,1,4,0,6,6,"gebiRewfieSdtt17PTW6Zg"
0,4,0,1,5,0,2,3,1,6,5,"gebiRewfieSdtt17PTW6Zg"
0,5,0,2,3,1,1,3,1,3,6,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,4,0,3,4,"gebiRewfieSdtt17PTW6Zg"
0,3,1,0,2,2,1,2,2,4,1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,4,0,1,3,0,5,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,2,0,2,3,"gebiRewfieSdtt17PTW6Zg"
1,3,1,0,7,2,1,8,1,15,8,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,1,1,3,2,7,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,2,0,3,2,"gebiRewfieSdtt17PTW6Zg"
2,2,0,2,4,2,2,6,5,11,9,"gebiRewfieSdtt17PTW6Zg"
1,0,0,1,0,1,1,0,2,0,2,"gebiRewfieSdtt17PTW6Zg"
0,1,2,0,1,0,0,2,2,4,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,3,3,"gebiRewfieSdtt17PTW6Zg"
1,0,2,2,2,1,1,4,0,4,4,"gebiRewfieSdtt17PTW6Zg"
1,2,2,2,2,2,1,2,2,2,1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,3,0,4,5,"gebiRewfieSdtt17PTW6Zg"
4,9,6,5,4,12,3,5,23,17,-8,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,0,2,1,3,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,0,2,1,3,7,"gebiRewfieSdtt17PTW6Zg"
3,7,6,8,5,2,3,7,8,14,-4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,2,0,0,2,0,3,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,3,0,5,2,"gebiRewfieSdtt17PTW6Zg"
0,3,1,2,7,1,2,3,4,10,7,"gebiRewfieSdtt17PTW6Zg"
0,4,0,1,6,0,0,5,1,8,7,"gebiRewfieSdtt17PTW6Zg"
1,5,2,1,2,0,1,2,4,3,2,"gebiRewfieSdtt17PTW6Zg"
0,0,1,0,8,0,0,5,0,10,9,"gebiRewfieSdtt17PTW6Zg"
0,1,0,2,2,1,0,1,1,5,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,1,3,"gebiRewfieSdtt17PTW6Zg"
