"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,0,0,0,1,0,0,1,0,2,4,"gebiRewfieSdtt17PTW6Zg"
0,2,1,0,2,1,2,2,3,4,-2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,5,5,"gebiRewfieSdtt17PTW6Zg"
1,4,0,1,6,2,2,3,2,10,9,"gebiRewfieSdtt17PTW6Zg"
1,2,0,1,1,1,0,2,3,1,-1,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,4,0,1,4,0,5,7,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,1,2,3,1,5,1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,2,0,2,4,"gebiRewfieSdtt17PTW6Zg"
2,3,5,3,6,6,4,4,7,9,8,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,4,0,1,5,0,8,5,"gebiRewfieSdtt17PTW6Zg"
2,2,5,1,2,5,2,3,5,3,-1,"gebiRewfieSdtt17PTW6Zg"
0,1,1,1,4,1,2,1,1,4,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,3,1,4,7,"gebiRewfieSdtt17PTW6Zg"
1,1,1,3,2,2,0,1,2,2,2,"gebiRewfieSdtt17PTW6Zg"
0,2,1,0,4,0,2,5,0,5,1,"gebiRewfieSdtt17PTW6Zg"
0,1,1,1,3,0,1,2,0,4,2,"gebiRewfieSdtt17PTW6Zg"
2,2,1,2,1,1,0,1,4,2,-2,"gebiRewfieSdtt17PTW6Zg"
1,4,0,0,4,0,1,4,1,4,6,"gebiRewfieSdtt17PTW6Zg"
3,2,2,2,2,2,1,3,5,4,-4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,4,1,0,3,1,4,4,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,5,0,0,3,0,6,7,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,5,0,2,6,1,8,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,4,0,0,5,0,6,7,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,3,0,3,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,0,2,0,3,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,0,2,2,"gebiRewfieSdtt17PTW6Zg"
0,0,1,1,1,0,1,1,2,3,-1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,3,0,3,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,1,2,2,-2,"gebiRewfieSdtt17PTW6Zg"
1,3,1,1,3,0,2,3,2,6,4,"gebiRewfieSdtt17PTW6Zg"
3,1,3,2,2,2,1,2,4,4,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,2,6,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,1,1,0,2,2,3,0,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,3,1,1,6,0,10,6,"gebiRewfieSdtt17PTW6Zg"
2,4,1,1,6,1,1,4,1,7,6,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,1,0,0,1,0,2,2,"gebiRewfieSdtt17PTW6Zg"
3,5,2,2,1,1,0,2,5,4,-4,"gebiRewfieSdtt17PTW6Zg"
2,3,2,1,6,3,2,5,4,11,14,"gebiRewfieSdtt17PTW6Zg"
4,4,3,5,5,4,2,6,4,10,-1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,0,-1,"gebiRewfieSdtt17PTW6Zg"
1,0,1,0,1,0,0,1,0,2,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,1,1,3,1,5,3,"gebiRewfieSdtt17PTW6Zg"
2,0,0,1,2,1,0,4,1,6,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,0,1,0,0,1,1,-2,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,3,1,1,3,1,3,4,"gebiRewfieSdtt17PTW6Zg"
1,7,0,1,9,0,3,5,3,13,7,"gebiRewfieSdtt17PTW6Zg"
4,8,2,5,10,5,6,7,7,18,9,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,1,1,1,1,3,4,1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,5,0,1,4,0,5,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,0,1,2,0,5,4,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,2,2,0,2,4,5,0,"gebiRewfieSdtt17PTW6Zg"
2,0,3,0,0,2,0,0,5,0,-4,"gebiRewfieSdtt17PTW6Zg"
1,2,0,1,4,2,2,4,2,7,6,"gebiRewfieSdtt17PTW6Zg"
1,1,1,0,0,1,0,0,2,0,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,1,2,0,3,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,1,0,1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,2,0,2,4,"gebiRewfieSdtt17PTW6Zg"
1,8,1,1,10,1,3,9,2,20,13,"gebiRewfieSdtt17PTW6Zg"
1,5,1,2,3,1,2,3,1,4,2,"gebiRewfieSdtt17PTW6Zg"
1,6,0,1,6,0,3,4,1,7,6,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,3,0,0,3,1,4,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,2,0,1,2,0,3,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,6,0,2,6,0,8,5,"gebiRewfieSdtt17PTW6Zg"
0,1,1,1,3,1,1,3,2,7,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,2,2,0,1,2,0,4,1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,2,1,2,3,1,4,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,0,1,3,2,7,3,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,3,0,2,5,0,5,4,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,4,1,2,3,1,6,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,1,0,3,0,5,7,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,0,1,0,0,1,1,-1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,4,3,3,1,"gebiRewfieSdtt17PTW6Zg"
2,3,1,1,3,2,1,3,2,4,-3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,5,0,0,2,1,10,6,"gebiRewfieSdtt17PTW6Zg"
0,1,1,0,2,0,1,2,1,2,0,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,4,0,1,4,1,7,7,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,2,1,0,2,0,4,5,"gebiRewfieSdtt17PTW6Zg"
2,2,1,1,7,4,2,5,6,13,8,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,1,1,0,1,1,2,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,1,1,3,2,3,1,"gebiRewfieSdtt17PTW6Zg"
2,5,1,2,8,0,2,5,2,14,7,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,3,1,1,3,2,4,2,"gebiRewfieSdtt17PTW6Zg"
0,1,2,0,3,1,0,4,1,5,1,"gebiRewfieSdtt17PTW6Zg"
1,0,1,0,1,1,0,1,1,2,2,"gebiRewfieSdtt17PTW6Zg"
1,0,0,0,1,0,0,2,0,3,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,0,1,0,1,4,0,-4,"gebiRewfieSdtt17PTW6Zg"
3,4,0,0,6,0,1,6,3,11,12,"gebiRewfieSdtt17PTW6Zg"
1,1,1,2,4,1,1,2,1,4,0,"gebiRewfieSdtt17PTW6Zg"
1,1,0,1,4,0,1,4,2,7,9,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,1,2,2,2,4,1,0,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,4,1,1,3,1,6,4,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,3,0,2,2,0,3,4,"gebiRewfieSdtt17PTW6Zg"
0,7,1,1,6,1,2,8,1,11,9,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,4,0,2,3,0,6,6,"gebiRewfieSdtt17PTW6Zg"
3,2,1,1,0,4,0,0,4,5,-1,"gebiRewfieSdtt17PTW6Zg"
