"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,2,0,0,3,0,1,2,1,4,5,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,1,1,2,0,3,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,4,0,0,4,0,6,1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,1,1,2,1,4,1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,2,3,0,4,6,"gebiRewfieSdtt17PTW6Zg"
2,0,1,3,1,3,1,2,3,1,-1,"gebiRewfieSdtt17PTW6Zg"
2,2,0,0,2,0,0,2,3,6,6,"gebiRewfieSdtt17PTW6Zg"
0,6,0,0,4,1,1,3,2,10,5,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,5,0,0,3,1,5,7,"gebiRewfieSdtt17PTW6Zg"
1,0,0,1,1,1,0,1,1,2,2,"gebiRewfieSdtt17PTW6Zg"
1,3,0,0,4,0,1,5,2,7,12,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,3,1,3,5,"gebiRewfieSdtt17PTW6Zg"
1,0,1,0,2,1,0,0,1,2,2,"gebiRewfieSdtt17PTW6Zg"
2,3,2,0,4,3,1,3,3,5,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,0,0,3,5,"gebiRewfieSdtt17PTW6Zg"
2,4,1,2,3,2,1,2,3,6,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,1,0,1,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,1,1,1,0,3,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,2,0,1,1,0,3,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,2,0,2,3,"gebiRewfieSdtt17PTW6Zg"
1,5,1,2,4,4,3,6,4,8,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,1,1,2,0,4,4,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,5,0,2,5,0,6,6,"gebiRewfieSdtt17PTW6Zg"
1,4,1,0,5,1,2,4,1,6,7,"gebiRewfieSdtt17PTW6Zg"
1,0,0,1,3,0,0,0,1,5,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,3,0,4,2,"gebiRewfieSdtt17PTW6Zg"
2,2,2,2,2,3,0,1,3,5,-2,"gebiRewfieSdtt17PTW6Zg"
8,2,4,6,4,11,3,5,14,9,0,"gebiRewfieSdtt17PTW6Zg"
1,1,1,0,3,1,2,2,1,6,7,"gebiRewfieSdtt17PTW6Zg"
1,3,1,1,2,1,1,2,2,5,1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,0,1,"gebiRewfieSdtt17PTW6Zg"
0,4,1,0,7,0,2,4,1,10,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,1,0,1,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,0,5,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,1,0,2,1,0,3,0,"gebiRewfieSdtt17PTW6Zg"
2,1,2,0,2,0,1,2,3,4,-3,"gebiRewfieSdtt17PTW6Zg"
2,2,1,1,2,2,1,1,3,4,3,"gebiRewfieSdtt17PTW6Zg"
3,2,5,2,4,4,0,6,7,8,-3,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,2,0,2,4,0,6,3,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,2,0,3,3,1,3,0,"gebiRewfieSdtt17PTW6Zg"
1,2,1,2,2,4,1,1,4,6,-4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,2,3,0,3,7,"gebiRewfieSdtt17PTW6Zg"
1,0,0,0,1,1,0,0,2,4,3,"gebiRewfieSdtt17PTW6Zg"
1,7,1,1,4,0,1,4,3,11,8,"gebiRewfieSdtt17PTW6Zg"
1,0,1,1,0,1,0,0,1,0,2,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,2,2,1,3,2,5,2,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,2,0,1,3,1,4,3,"gebiRewfieSdtt17PTW6Zg"
0,6,0,1,7,0,3,5,0,9,9,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,1,2,1,2,3,1,"gebiRewfieSdtt17PTW6Zg"
1,1,1,0,1,1,0,0,1,2,6,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,3,1,1,2,0,7,8,"gebiRewfieSdtt17PTW6Zg"
